# r   n   gradn   gradn2   lapl   tau_KS   tauTF   s2   q   tau_vW
# H Z=1  Koga1999  E=-0.50000000 Ha  T_KS=0.5000000000 Ha
# Note: tau_KS = tau_vW exactly (single orbital) -> alpha_bar = 0 everywhere
9.999999999999999547e-07 3.183092495646549502e-01 -6.366184991293099005e-01 4.052831134336551400e-01 -1.273235725021621445e+06 1.591546247823274751e-01 4.260730051387789374e-01 2.241230345919072997e-01 -2.241228104688727763e+05 1.591546247823274751e-01
1.008445288258213243e-06 3.183092441882282575e-01 -6.366184883764565150e-01 4.052830997427244730e-01 -1.262572900669917231e+06 1.591546220941141287e-01 4.260729931444146024e-01 2.241230371156189005e-01 -2.222458805741490796e+05 1.591546220941141287e-01
1.016961899410190874e-06 3.183092387663961631e-01 -6.366184775327923262e-01 4.052830859361704063e-01 -1.251999372808905784e+06 1.591546193831980816e-01 4.260729810487546843e-01 2.241230396606438691e-01 -2.203846691464417090e+05 1.591546193831980816e-01
1.025550435798330311e-06 3.183092332987752515e-01 -6.366184665975505030e-01 4.052830720130164988e-01 -1.241514393619530369e+06 1.591546166493876258e-01 4.260729688509439228e-01 2.241230422271624501e-01 -2.185390445504637319e+05 1.591546166493876258e-01
1.034211504851983217e-06 3.183092277849787766e-01 -6.366184555699575531e-01 4.052830579722780380e-01 -1.231117221545392880e+06 1.591546138924893883e-01 4.260729565501193417e-01 2.241230448153559707e-01 -2.167088762533163826e+05 1.591546138924893883e-01
1.042945719130418868e-06 3.183092222246168834e-01 -6.366184444492337668e-01 4.052830438129621515e-01 -1.220807121240303386e+06 1.591546111123084417e-01 4.260729441454113031e-01 2.241230474254075622e-01 -2.148940348152562510e+05 1.591546111123084417e-01
1.051753696366144806e-06 3.183092166172961646e-01 -6.366184332345923291e-01 4.052830295340670852e-01 -1.210583363516276237e+06 1.591546083086480823e-01 4.260729316359421759e-01 2.241230500575018270e-01 -2.130943918805417197e+05 1.591546083086480823e-01
1.060636059508598284e-06 3.183092109626201038e-01 -6.366184219252402077e-01 4.052830151345831466e-01 -1.200445225291955983e+06 1.591546054813100519e-01 4.260729190208273898e-01 2.241230527118249494e-01 -2.113098201683540246e+05 1.591546054813100519e-01
1.069593436768204045e-06 3.183092052601887434e-01 -6.366184105203774868e-01 4.052830006134918728e-01 -1.190391989541476592e+06 1.591546026300943717e-01 4.260729062991745475e-01 2.241230553885646681e-01 -2.095401934637957311e+05 1.591546026300943717e-01
1.078626461660804592e-06 3.183091995095988502e-01 -6.366183990191977005e-01 4.052829859697664183e-01 -1.180422945243751165e+06 1.591545997547994251e-01 4.260728934700841464e-01 2.241230580879101097e-01 -2.077853866089639196e+05 1.591545997547994251e-01
1.087735773052466747e-06 3.183091937104436386e-01 -6.366183874208872773e-01 4.052829712023709452e-01 -1.170537387332183309e+06 1.591545968552218193e-01 4.260728805326488011e-01 2.241230608100525101e-01 -2.060452754940985178e+05 1.591545968552218193e-01
1.096922015204665350e-06 3.183091878623130477e-01 -6.366183757246260955e-01 4.052829563102611776e-01 -1.160734616644800175e+06 1.591545939311565239e-01 4.260728674859535214e-01 2.241230635551841044e-01 -2.043197370488041779e+05 1.591545939311565239e-01
1.106185837819848981e-06 3.183091819647934639e-01 -6.366183639295869279e-01 4.052829412923840136e-01 -1.151013939874805743e+06 1.591545909823967320e-01 4.260728543290756010e-01 2.241230663234992093e-01 -2.026086492333465430e+05 1.591545909823967320e-01
1.115527896087390852e-06 3.183091760174676099e-01 -6.366183520349352198e-01 4.052829261476766920e-01 -1.141374669521543663e+06 1.591545880087338050e-01 4.260728410610842287e-01 2.241230691151935017e-01 -2.009118910300204298e+05 1.591545880087338050e-01
1.124948850729927237e-06 3.183091700199150442e-01 -6.366183400398300885e-01 4.052829108750687359e-01 -1.131816123841876863e+06 1.591545850099575221e-01 4.260728276810414328e-01 2.241230719304645458e-01 -1.992293424345911772e+05 1.591545850099575221e-01
1.134449368050087210e-06 3.183091639717115506e-01 -6.366183279434231013e-01 4.052828954734797873e-01 -1.122337626801967388e+06 1.591545819858557753e-01 4.260728141880008035e-01 2.241230747695114323e-01 -1.975608844478069514e+05 1.591545819858557753e-01
1.144030119977618180e-06 3.183091578724293047e-01 -6.366183157448586094e-01 4.052828799418204953e-01 -1.112938508029465796e+06 1.591545789362146524e-01 4.260728005810077712e-01 2.241230776325349172e-01 -1.959063990669828781e+05 1.591545789362146524e-01
1.153691784116907609e-06 3.183091517216370403e-01 -6.366183034432740806e-01 4.052828642789925717e-01 -1.103618102766097290e+06 1.591545758608185201e-01 4.260727868591004386e-01 2.241230805197374221e-01 -1.942657692776545591e+05 1.591545758608185201e-01
