# r  vx
9.999999999999999547e-07 -3.737608972329505195e+04
1.008445288258213243e-06 -3.706308800147826696e+04
1.016961899410190874e-06 -3.675270753220727784e+04
1.025550435798330311e-06 -3.644492636362523626e+04
1.034211504851983217e-06 -3.613972272772024007e+04
1.042945719130418868e-06 -3.583707503879374417e+04
1.051753696366144806e-06 -3.553696189190077712e+04
1.060636059508598284e-06 -3.523936206135974498e+04
1.069593436768204045e-06 -3.494425449925206340e+04
1.078626461660804592e-06 -3.465161833391409891e+04
1.087735773052466747e-06 -3.436143286848009302e+04
1.096922015204665350e-06 -3.407367757941078889e+04
1.106185837819848981e-06 -3.378833211503909843e+04
1.115527896087390852e-06 -3.350537629414031835e+04
1.124948850729927237e-06 -3.322479010449279303e+04
1.134449368050087210e-06 -3.294655370147569920e+04
1.144030119977618180e-06 -3.267064740664761848e+04
1.153691784116907609e-06 -3.239705170637325864e+04
1.163435043794907293e-06 -3.212574725044139268e+04
1.173260588109462307e-06 -3.185671485067202229e+04
1.183169111978047587e-06 -3.158993547959130956e+04
1.193161316186916594e-06 -3.132539026907091102e+04
1.203237907440664177e-06 -3.106306050899555703e+04
1.213399598412209984e-06 -3.080292764593581524e+04
1.223647107793201584e-06 -3.054497328183159334e+04
1.233981160344844280e-06 -3.028917917271701299e+04
1.244402486949160998e-06 -3.003552722740030367e+04
1.254911824660684168e-06 -2.978399950619041556e+04
1.265509916758584040e-06 -2.953457821964389950e+04
1.276197512799237876e-06 -2.928724572729323336e+04
1.286975368669242353e-06 -2.904198453639450599e+04
1.297844246638874472e-06 -2.879877730070848702e+04
1.308804915416003512e-06 -2.855760681926165125e+04
1.319858150200458262e-06 -2.831845603511814988e+04
1.331004732738853135e-06 -2.808130803420507073e+04
1.342245451379879091e-06 -2.784614604408657033e+04
1.353581101130057672e-06 -2.761295343278772270e+04
1.365012483709971078e-06 -2.738171370762700099e+04
1.376540407610961487e-06 -2.715241051403102392e+04
1.388165688152314468e-06 -2.692502763440085982e+04
1.399889147538921801e-06 -2.669954898694603253e+04
1.411711614919432623e-06 -2.647595862455188399e+04
1.423633926444895000e-06 -2.625424073365637014e+04
1.435656925327894284e-06 -2.603437963313252112e+04
1.447781461902188679e-06 -2.581635977317349170e+04
1.460008393682850066e-06 -2.560016573419102497e+04
1.472338585426912827e-06 -2.538578222573658059e+04
1.484772909194533231e-06 -2.517319408540816585e+04
1.497312244410666977e-06 -2.496238627778034061e+04
1.509957477927267464e-06 -2.475334389334858861e+04
1.522709504086008157e-06 -2.454605214746239653e+04
1.535569224781535406e-06 -2.434049637929249366e+04
1.548537549525256590e-06 -2.413666205078501662e+04
1.561615395509664649e-06 -2.393453474563134660e+04
1.574803687673207679e-06 -2.373410016826318315e+04
1.588103358765705282e-06 -2.353534414282089710e+04
1.601515349414318463e-06 -2.333825261216736544e+04
1.615040608190075593e-06 -2.314281163689193272e+04
1.628680091674961019e-06 -2.294900739430643443e+04
1.642434764529569281e-06 -2.275682617749546262e+04
1.656305599561332344e-06 -2.256625439432650091e+04
1.670293577793320697e-06 -2.237727856649929890e+04
1.684399688533627847e-06 -2.218988532858283725e+04
1.698624929445339046e-06 -2.200406142707776598e+04
1.712970306617092106e-06 -2.181979371948401604e+04
1.727436834634233673e-06 -2.163706917334974423e+04
1.742025536650575191e-06 -2.145587486537919176e+04
1.756737444460758116e-06 -2.127619798049597375e+04
1.771573598573226215e-06 -2.109802581094122797e+04
1.786535048283817492e-06 -2.092134575538575154e+04
1.801622851749975492e-06 -2.074614531802865895e+04
1.816838076065588266e-06 -2.057241210771025726e+04
1.832181797336459849e-06 -2.040013383704960870e+04
1.847655100756417868e-06 -2.022929832156113844e+04
1.863259080684063829e-06 -2.005989347880002242e+04
1.878994840720174358e-06 -1.989190732751424366e+04
1.894863493785751894e-06 -1.972532798677496976e+04
1.910866162200737979e-06 -1.956014367516350103e+04
1.927003977763388719e-06 -1.939634270992157690e+04
1.943278081830324476e-06 -1.923391350612715905e+04
1.959689625397249568e-06 -1.907284457587801080e+04
1.976239769180359125e-06 -1.891312452747559655e+04
1.992929683698432247e-06 -1.875474206462764050e+04
2.009760549355615505e-06 -1.859768598564230706e+04
2.026733556524909043e-06 -1.844194518262960264e+04
2.043849905632355730e-06 -1.828750864072961485e+04
2.061110807241943077e-06 -1.813436543732867722e+04
2.078517482141220064e-06 -1.798250474128077622e+04
2.096071161427638590e-06 -1.783191581214715552e+04
2.113773086595622536e-06 -1.768258799943733538e+04
2.131624509624376279e-06 -1.753451074185085599e+04
2.149626693066426740e-06 -1.738767356653723982e+04
2.167780910136922683e-06 -1.724206608835130100e+04
2.186088444803681089e-06 -1.709767800911240556e+04
2.204550591877997564e-06 -1.695449911689190776e+04
2.223168657106222028e-06 -1.681251928527620839e+04
2.241943957262109029e-06 -1.667172847265693053e+04
2.260877820239946897e-06 -1.653211672152070605e+04
2.279971585148474214e-06 -1.639367415774280380e+04
2.299226602405588688e-06 -1.625639098988890692e+04
2.318644233833856468e-06 -1.612025750852634883e+04
2.338225852756827838e-06 -1.598526408553458532e+04
2.357972844096165640e-06 -1.585140117342252961e+04
2.377886604469597007e-06 -1.571865930465627389e+04
2.397968542289686727e-06 -1.558702909098810596e+04
2.418220077863450854e-06 -1.545650122279161587e+04
2.438642643492806770e-06 -1.532706646840564827e+04
2.459237683575874940e-06 -1.519871567348098688e+04
2.480006654709134047e-06 -1.507143976033252693e+04
2.500951025790440106e-06 -1.494522972729239882e+04
2.522072278122914628e-06 -1.482007664808322079e+04
2.543371905519711588e-06 -1.469597167117903155e+04
2.564851414409666997e-06 -1.457290601917896311e+04
2.586512323943842514e-06 -1.445087098819263156e+04
2.608356166102969461e-06 -1.432985794722155697e+04
2.630384485805797044e-06 -1.420985833754401392e+04
2.652598841018359598e-06 -1.409086367211708239e+04
2.675000802864162027e-06 -1.397286553497243040e+04
2.697591955735302050e-06 -1.385585558062114615e+04
2.720373897404524196e-06 -1.373982553346481654e+04
2.743348239138224583e-06 -1.362476718720716053e+04
2.766516605810409035e-06 -1.351067240428170044e+04
2.789880636017611743e-06 -1.339753311526453035e+04
2.813441982194788000e-06 -1.328534131831167542e+04
2.837202310732181880e-06 -1.317408907859427018e+04
2.861163302093184522e-06 -1.306376852772916209e+04
2.885326650933183014e-06 -1.295437186322805610e+04
2.909694066219418521e-06 -1.284589134795116661e+04
2.934267271351854922e-06 -1.273831930954582458e+04
2.959048004285062191e-06 -1.263164813991634401e+04
2.984038017651140363e-06 -1.252587029468112451e+04
3.009239078883671790e-06 -1.242097829263875428e+04
3.034652970342724995e-06 -1.231696471524111985e+04
3.060281489440912233e-06 -1.221382220606391820e+04
3.086126448770515584e-06 -1.211154347029312703e+04
3.112189676231679036e-06 -1.201012127420406250e+04
3.138473015161690698e-06 -1.190954844465060705e+04
3.164978324465355577e-06 -1.180981786856018880e+04
3.191707478746462284e-06 -1.171092249242873368e+04
3.218662368440371646e-06 -1.161285532182227689e+04
3.245844899947714079e-06 -1.151560942087933108e+04
3.273256995769224105e-06 -1.141917791182825204e+04
3.300900594641708622e-06 -1.132355397449267002e+04
3.328777651675165868e-06 -1.122873084581039075e+04
3.356890138491061007e-06 -1.113470181936173685e+04
3.385240043361771472e-06 -1.104146024488786315e+04
3.413829371351208406e-06 -1.094899952782092623e+04
3.442660144456624382e-06 -1.085731312882227212e+04
3.471734401751623053e-06 -1.076639456331837573e+04
3.501054199530371597e-06 -1.067623740103624732e+04
3.530621611453033732e-06 -1.058683526556089419e+04
3.560438728692432622e-06 -1.049818183387081444e+04
3.590507660081946219e-06 -1.041027083589741233e+04
3.620830532264661720e-06 -1.032309605408680545e+04
3.651409489843776427e-06 -1.023665132294838259e+04
3.682246695534283141e-06 -1.015093052862722834e+04
3.713344330315923557e-06 -1.006592760846991223e+04
3.744704593587443554e-06 -9.981636550592656931e+03
3.776329703322145286e-06 -9.898051393462257693e+03
3.808221896224753879e-06 -9.815166225467324693e+03
3.840383427889611413e-06 -9.732975184504417484e+03
3.872816572960204998e-06 -9.651472457564916112e+03
3.905523625290039925e-06 -9.570652280319573038e+03
3.938506898104876971e-06 -9.490508936711476053e+03
3.971768724166333844e-06 -9.411036758556361747e+03
4.005311455936874503e-06 -9.332230125137772120e+03
4.039137465746185905e-06 -9.254083462807167962e+03
4.073249145958961678e-06 -9.176591244597997502e+03
4.107648909144106276e-06 -9.099747989826428238e+03
4.142339188245363832e-06 -9.023548263704700730e+03
4.177322436753389513e-06 -8.947986676964876096e+03
4.212601128879274387e-06 -8.873057885468766472e+03
4.248177759729533957e-06 -8.798756589831340534e+03
4.284054845482580699e-06 -8.725077535049074868e+03
4.320234923566677216e-06 -8.652015510127996095e+03
4.356720552839397953e-06 -8.579565347713434676e+03
4.393514313768609648e-06 -8.507721923722467182e+03
4.430618808614972200e-06 -8.436480156987912778e+03
4.468036661615987072e-06 -8.365835008892960104e+03
4.505770519171599150e-06 -8.295781483016122365e+03
4.543823050031362228e-06 -8.226314624782757164e+03
4.582196945483191823e-06 -8.157429521104837477e+03
4.620894919543701956e-06 -8.089121300043917472e+03
4.659919709150161448e-06 -8.021385130462094821e+03
4.699274074354064669e-06 -7.954216221674635563e+03
4.738960798516333664e-06 -7.887609823122929811e+03
4.778982688504177084e-06 -7.821561224029543155e+03
4.819342574889605909e-06 -7.756065753067511650e+03
4.860043312149628838e-06 -7.691118778031133843e+03
4.901087778868134121e-06 -7.626715705506133418e+03
4.942478877939482398e-06 -7.562851980547668973e+03
4.984219536773812240e-06 -7.499523086354860425e+03
5.026312707504085493e-06 -7.436724543954868750e+03
5.068761367194878362e-06 -7.374451911882977583e+03
5.111568518052934313e-06 -7.312700785869388710e+03
5.154737187639499148e-06 -7.251466798530657798e+03
5.198270429084446691e-06 -7.190745619055784118e+03
5.242171321302211208e-06 -7.130532952901863609e+03
5.286442969209547717e-06 -7.070824541494188452e+03
5.331088503945127823e-06 -7.011616161919097067e+03
5.376111083090991397e-06 -6.952903626627308768e+03
5.421513890895871049e-06 -6.894682783141913205e+03
5.467300138500393626e-06 -6.836949513758015200e+03
5.513473064164199389e-06 -6.779699735256425811e+03
5.560035933494961089e-06 -6.722929398611024226e+03
5.606992039679350369e-06 -6.666634488706767115e+03
5.654344703715948955e-06 -6.610811024053676192e+03
5.702097274650132585e-06 -6.555455056502466505e+03
5.750253129810925989e-06 -6.500562670969206920e+03
5.798815675049872104e-06 -6.446129985158147065e+03
5.847788344981914696e-06 -6.392153149285551081e+03
5.897174603228307077e-06 -6.338628345806308971e+03
5.946977942661585047e-06 -6.285551789147702038e+03
5.997201885652598126e-06 -6.232919725437673151e+03
6.047849984319635489e-06 -6.180728432242936833e+03
6.098925820779644936e-06 -6.128974218303956150e+03
6.150433007401589755e-06 -6.077653423271452084e+03
6.202375187061926573e-06 -6.026762417451951478e+03
6.254756033402254135e-06 -5.976297601549555111e+03
6.307579251089135588e-06 -5.926255406410531577e+03
6.360848576076107784e-06 -5.876632292769371816e+03
6.414567775867917452e-06 -5.827424751002143239e+03
6.468740649786968113e-06 -5.778629300876588786e+03
6.523371029242041280e-06 -5.730242491305588374e+03
6.578462777999268235e-06 -5.682260900102774940e+03
6.634019792455398941e-06 -5.634681133741346457e+03
6.690046001913377445e-06 -5.587499827114700565e+03
6.746545368860243217e-06 -5.540713643296235205e+03
6.803521889247382167e-06 -5.494319273305106435e+03
6.860979592773140883e-06 -5.448313435872889386e+03
6.918922543167828652e-06 -5.402692877207939091e+03
6.977354838481130987e-06 -5.357454370769813977e+03
7.036280611371944818e-06 -5.312594717038718045e+03
7.095704029400658226e-06 -5.268110743287082187e+03
7.155629295323912820e-06 -5.223999303361431885e+03
7.216060647391839462e-06 -5.180257277453083589e+03
7.277002359647812215e-06 -5.136881571880910997e+03
7.338458742230737457e-06 -5.093869118872514264e+03
7.400434141679881564e-06 -5.051216876346709796e+03
7.462932941242291345e-06 -5.008921827698351990e+03
7.525959561182797945e-06 -4.966980981583816174e+03
7.589518459096643994e-06 -4.925391371713261833e+03
7.653614130224746734e-06 -4.884150056636109184e+03
7.718251107771628442e-06 -4.843254119535545215e+03
7.783433963226034499e-06 -4.802700668022636819e+03
7.849167306684245863e-06 -4.762486833929639033e+03
7.915455787176138474e-06 -4.722609773109762500e+03
7.982304092993984504e-06 -4.683066665234087850e+03
8.049716952024035262e-06 -4.643854713592450025e+03
8.117699132080904390e-06 -4.604971144896495389e+03
8.186255441244775068e-06 -4.566413209082159483e+03
8.255390728201454943e-06 -4.528178179117167019e+03
8.325109882585297419e-06 -4.490263350805609662e+03
8.395417835325031655e-06 -4.452666042599139473e+03
8.466319558992496194e-06 -4.415383595405925007e+03
8.537820068154338904e-06 -4.378413372401896595e+03
8.609924419726659503e-06 -4.341752758846342658e+03
8.682637713332681085e-06 -4.305399161896103578e+03
8.755965091663409970e-06 -4.269350010420444050e+03
8.829911740841360122e-06 -4.233602754822136376e+03
8.904482890787348908e-06 -4.198154866855588807e+03
8.979683815590376060e-06 -4.163003839446684651e+03
9.055519833880650206e-06 -4.128147186519506249e+03
9.131996309205740953e-06 -4.093582442815621562e+03
9.209118650409922599e-06 -4.059307163723171470e+03
9.286892312016723007e-06 -4.025318925102225876e+03
9.365322794614691206e-06 -3.991615323114953299e+03
9.444415645246427771e-06 -3.958193974054146111e+03
9.524176457800913540e-06 -3.925052514173601594e+03
9.604610873409131597e-06 -3.892188599525919926e+03
9.685724580843041816e-06 -3.859599905789783861e+03
9.767523316917923207e-06 -3.827284128110197798e+03
9.850012866898114549e-06 -3.795238980935786003e+03
9.933199064906180438e-06 -3.763462197853521047e+03
1.001708779433552814e-05 -3.731951531431067906e+03
1.010168498826652268e-05 -3.700704753058887491e+03
1.018699662988609852e-05 -3.669719652789462543e+03
1.027302875291093550e-05 -3.638994039182876350e+03
1.035978744201418217e-05 -3.608525739152449205e+03
1.044727883325581125e-05 -3.578312597808324881e+03
1.053550911451658675e-05 -3.548352478309545404e+03
1.062448452593571239e-05 -3.518643261707980855e+03
1.071421136035216789e-05 -3.489182846801185860e+03
1.080469596374976386e-05 -3.459969149984948672e+03
1.089594473570598619e-05 -3.431000105102226371e+03
1.098796412984458617e-05 -3.402273663300382850e+03
1.108076065429203119e-05 -3.373787792884637383e+03
1.117434087213779440e-05 -3.345540479174883330e+03
1.126871140189853547e-05 -3.317529724363096193e+03
1.136387891798618291e-05 -3.289753547371971308e+03
1.145985015118000919e-05 -3.262209983714394639e+03
1.155663188910265486e-05 -3.234897085355805302e+03
1.165423097670018780e-05 -3.207812920575498538e+03
1.175265431672621982e-05 -3.180955573829329751e+03
1.185190887023010769e-05 -3.154323145615283920e+03
1.195200165704927578e-05 -3.127913752339434723e+03
1.205293975630570102e-05 -3.101725526181855003e+03
1.215473030690658222e-05 -3.075756614964117489e+03
1.225738050804924964e-05 -3.050005182019745916e+03
1.236089761973033175e-05 -3.024469406063427414e+03
1.246528896325921642e-05 -2.999147481062049792e+03
1.257056192177586589e-05 -2.974037616107306349e+03
1.267672394077298376e-05 -2.949138035289339768e+03
1.278378252862260526e-05 -2.924446977570002218e+03
1.289174525710713602e-05 -2.899962696659894846e+03
1.300061976195485991e-05 -2.875683460893711981e+03
1.311041374337999366e-05 -2.851607553107789045e+03
1.322113496662727822e-05 -2.827733270519363487e+03
1.333279126252118988e-05 -2.804058924605237735e+03
1.344539052801976932e-05 -2.780582840983915048e+03
1.355894072677314672e-05 -2.757303359294715847e+03
1.367344988968677458e-05 -2.734218833082536548e+03
1.378892611548941415e-05 -2.711327629680979499e+03
1.390537757130592961e-05 -2.688628130095689357e+03
1.402281249323490354e-05 -2.666118728890728562e+03
1.414123918693114657e-05 -2.643797834075744049e+03
1.426066602819312320e-05 -2.621663866992309067e+03
1.438110146355532259e-05 -2.599715262201922542e+03
1.450255401088566072e-05 -2.577950467376633696e+03
1.462503225998790043e-05 -2.556367943188148274e+03
1.474854487320916542e-05 -2.534966163200113442e+03
1.487310058605261278e-05 -2.513743613758830179e+03
1.499870820779522829e-05 -2.492698793886118892e+03
1.512537662211088864e-05 -2.471830215175206376e+03
1.525311478769865658e-05 -2.451136401683294935e+03
1.538193173891638863e-05 -2.430615889828097806e+03
1.551183658641969786e-05 -2.410267228284301382e+03
1.564283851780631039e-05 -2.390088977880186576e+03
1.577494679826586848e-05 -2.370079711497523931e+03
1.590817077123520364e-05 -2.350238013969113126e+03
1.604251985905916808e-05 -2.330562481978554842e+03
1.617800356365703610e-05 -2.311051723962304550e+03
1.631463146719452318e-05 -2.291704360010528035e+03
1.645241323276149697e-05 -2.272519021769491701e+03
1.659135860505541095e-05 -2.253494352344432173e+03
1.673147741107049107e-05 -2.234629006204285361e+03
1.687277956079276695e-05 -2.215921649086387788e+03
1.701527504790095101e-05 -2.197370957901815473e+03
