# r  vx
9.999999999999999547e-07 -3.062184542354865698e+04
1.008445288258213243e-06 -3.036540742505019080e+04
1.016961899410190874e-06 -3.011111698265648010e+04
1.025550435798330311e-06 -2.985895611150293189e+04
1.034211504851983217e-06 -2.960890697736338188e+04
1.042945719130418868e-06 -2.936095189537020633e+04
1.051753696366144806e-06 -2.911507332874699205e+04
1.060636059508598284e-06 -2.887125388758549889e+04
1.069593436768204045e-06 -2.862947632761402565e+04
1.078626461660804592e-06 -2.838972354896913384e+04
1.087735773052466747e-06 -2.815197859499236438e+04
1.096922015204665350e-06 -2.791622465103087961e+04
1.106185837819848981e-06 -2.768244504324469744e+04
1.115527896087390852e-06 -2.745062323743286106e+04
1.124948850729927237e-06 -2.722074283786008527e+04
1.134449368050087210e-06 -2.699278758610019577e+04
1.144030119977618180e-06 -2.676674135987828049e+04
1.153691784116907609e-06 -2.654258817194204676e+04
1.163435043794907293e-06 -2.632031216892816883e+04
1.173260588109462307e-06 -2.609989763022598345e+04
1.183169111978047587e-06 -2.588132896689019981e+04
1.193161316186916594e-06 -2.566459072052086776e+04
1.203237907440664177e-06 -2.544966756217918373e+04
1.213399598412209984e-06 -2.523654429129582422e+04
1.223647107793201584e-06 -2.502520583459402405e+04
1.233981160344844280e-06 -2.481563724504336642e+04
1.244402486949160998e-06 -2.460782370078039457e+04
1.254911824660684168e-06 -2.440175050406295486e+04
1.265509916758584040e-06 -2.419740308024463593e+04
1.276197512799237876e-06 -2.399476697673347735e+04
1.286975368669242353e-06 -2.379382786196695815e+04
1.297844246638874472e-06 -2.359457152440831851e+04
1.308804915416003512e-06 -2.339698387153740623e+04
1.319858150200458262e-06 -2.320105092884244368e+04
1.331004732738853135e-06 -2.300675883885575968e+04
1.342245451379879091e-06 -2.281409386015255950e+04
1.353581101130057672e-06 -2.262304236638350994e+04
1.365012483709971078e-06 -2.243359084532341876e+04
1.376540407610961487e-06 -2.224572589789486665e+04
1.388165688152314468e-06 -2.205943423724261447e+04
1.399889147538921801e-06 -2.187470268777681486e+04
1.411711614919432623e-06 -2.169151818424621160e+04
1.423633926444895000e-06 -2.150986777081798209e+04
1.435656925327894284e-06 -2.132973860016070466e+04
1.447781461902188679e-06 -2.115111793253196811e+04
1.460008393682850066e-06 -2.097399313487419568e+04
1.472338585426912827e-06 -2.079835167993441064e+04
1.484772909194533231e-06 -2.062418114536645953e+04
1.497312244410666977e-06 -2.045146921285277494e+04
1.509957477927267464e-06 -2.028020366724098858e+04
1.522709504086008157e-06 -2.011037239567122379e+04
1.535569224781535406e-06 -1.994196338672787169e+04
1.548537549525256590e-06 -1.977496472958441154e+04
1.561615395509664649e-06 -1.960936461315687848e+04
1.574803687673207679e-06 -1.944515132528358299e+04
1.588103358765705282e-06 -1.928231325187803304e+04
1.601515349414318463e-06 -1.912083887612101171e+04
1.615040608190075593e-06 -1.896071677764599372e+04
1.628680091674961019e-06 -1.880193563171454298e+04
1.642434764529569281e-06 -1.864448420844015709e+04
1.656305599561332344e-06 -1.848835137197577569e+04
1.670293577793320697e-06 -1.833352607973456179e+04
1.684399688533627847e-06 -1.817999738160523339e+04
1.698624929445339046e-06 -1.802775441917722492e+04
1.712970306617092106e-06 -1.787678642497990222e+04
1.727436834634233673e-06 -1.772708272170756391e+04
1.742025536650575191e-06 -1.757863272148037140e+04
1.756737444460758116e-06 -1.743142592508313464e+04
1.771573598573226215e-06 -1.728545192122416483e+04
1.786535048283817492e-06 -1.714070038580834080e+04
1.801622851749975492e-06 -1.699716108119803175e+04
1.816838076065588266e-06 -1.685482385548617822e+04
1.832181797336459849e-06 -1.671367864179165917e+04
1.847655100756417868e-06 -1.657371545753319515e+04
1.863259080684063829e-06 -1.643492440372978672e+04
1.878994840720174358e-06 -1.629729566430699742e+04
1.894863493785751894e-06 -1.616081950538318233e+04
1.910866162200737979e-06 -1.602548627460489115e+04
1.927003977763388719e-06 -1.589128640044900021e+04
1.943278081830324476e-06 -1.575821039154875507e+04
1.959689625397249568e-06 -1.562624883602257432e+04
1.976239769180359125e-06 -1.549539240081106254e+04
1.992929683698432247e-06 -1.536563183101655886e+04
2.009760549355615505e-06 -1.523695794924687652e+04
2.026733556524909043e-06 -1.510936165496107969e+04
2.043849905632355730e-06 -1.498283392383625869e+04
2.061110807241943077e-06 -1.485736580712558862e+04
2.078517482141220064e-06 -1.473294843102055165e+04
2.096071161427638590e-06 -1.460957299602714556e+04
2.113773086595622536e-06 -1.448723077634547917e+04
2.131624509624376279e-06 -1.436591311924756883e+04
2.149626693066426740e-06 -1.424561144447129482e+04
2.167780910136922683e-06 -1.412631724361015586e+04
2.186088444803681089e-06 -1.400802207950720731e+04
2.204550591877997564e-06 -1.389071758566909193e+04
2.223168657106222028e-06 -1.377439546566526406e+04
2.241943957262109029e-06 -1.365904749254470516e+04
2.260877820239946897e-06 -1.354466550825253398e+04
2.279971585148474214e-06 -1.343124142305596979e+04
2.299226602405588688e-06 -1.331876721496662685e+04
2.318644233833856468e-06 -1.320723492918074044e+04
2.338225852756827838e-06 -1.309663667751186040e+04
2.357972844096165640e-06 -1.298696463783119361e+04
2.377886604469597007e-06 -1.287821105351899314e+04
2.397968542289686727e-06 -1.277036823291412475e+04
2.418220077863450854e-06 -1.266342854876743695e+04
2.438642643492806770e-06 -1.255738443770524827e+04
2.459237683575874940e-06 -1.245222839969703455e+04
2.480006654709134047e-06 -1.234795299751867969e+04
2.500951025790440106e-06 -1.224455085622863771e+04
2.522072278122914628e-06 -1.214201466265130875e+04
2.543371905519711588e-06 -1.204033716485215700e+04
2.564851414409666997e-06 -1.193951117162869195e+04
2.586512323943842514e-06 -1.183952955200296856e+04
2.608356166102969461e-06 -1.174038523471674671e+04
2.630384485805797044e-06 -1.164207120772725648e+04
2.652598841018359598e-06 -1.154458051771741157e+04
2.675000802864162027e-06 -1.144790626960008194e+04
2.697591955735302050e-06 -1.135204162603145778e+04
2.720373897404524196e-06 -1.125697980692751662e+04
2.743348239138224583e-06 -1.116271408898269874e+04
2.766516605810409035e-06 -1.106923780520128093e+04
2.789880636017611743e-06 -1.097654434441453122e+04
2.813441982194788000e-06 -1.088462715082290197e+04
2.837202310732181880e-06 -1.079347972353054320e+04
2.861163302093184522e-06 -1.070309561607848264e+04
2.885326650933183014e-06 -1.061346843599620297e+04
2.909694066219418521e-06 -1.052459184435200950e+04
2.934267271351854922e-06 -1.043645955529220919e+04
2.959048004285062191e-06 -1.034906533560918433e+04
