# r  vx
9.999999999999999547e-07 -3.413819589361544058e+04
1.008445288258213243e-06 -3.385231003520661034e+04
1.016961899410190874e-06 -3.356881834584914031e+04
1.025550435798330311e-06 -3.328770077540493367e+04
1.034211504851983217e-06 -3.300893744166736724e+04
1.042945719130418868e-06 -3.273250862894018428e+04
1.051753696366144806e-06 -3.245839478662504916e+04
1.060636059508598284e-06 -3.218657652785600294e+04
1.069593436768204045e-06 -3.191703462813108490e+04
1.078626461660804592e-06 -3.164975002393631075e+04
1.087735773052466747e-06 -3.138470381140688914e+04
1.096922015204665350e-06 -3.112187724499293836e+04
1.106185837819848981e-06 -3.086125173612734216e+04
1.115527896087390852e-06 -3.060280885191766720e+04
1.124948850729927237e-06 -3.034653031383637790e+04
1.134449368050087210e-06 -3.009239799643305014e+04
1.144030119977618180e-06 -2.984039392604348177e+04
1.153691784116907609e-06 -2.959050027953200333e+04
1.163435043794907293e-06 -2.934269938302713490e+04
1.173260588109462307e-06 -2.909697371065457264e+04
1.183169111978047587e-06 -2.885330588332210027e+04
1.193161316186916594e-06 -2.861167866747723747e+04
1.203237907440664177e-06 -2.837207497389572745e+04
1.213399598412209984e-06 -2.813447785646151533e+04
1.223647107793201584e-06 -2.789887051096942741e+04
1.233981160344844280e-06 -2.766523627395896983e+04
1.244402486949160998e-06 -2.743355862150909161e+04
1.254911824660684168e-06 -2.720382116807323109e+04
1.265509916758584040e-06 -2.697600766533811839e+04
1.276197512799237876e-06 -2.675010200105825788e+04
1.286975368669242353e-06 -2.652608819791744463e+04
1.297844246638874472e-06 -2.630395041240946375e+04
1.308804915416003512e-06 -2.608367293370771222e+04
1.319858150200458262e-06 -2.586524018255027477e+04
1.331004732738853135e-06 -2.564863671015747241e+04
1.342245451379879091e-06 -2.543384719711744765e+04
1.353581101130057672e-06 -2.522085645231124727e+04
1.365012483709971078e-06 -2.500964941184618874e+04
1.376540407610961487e-06 -2.480021113797422004e+04
1.388165688152314468e-06 -2.459252681805163593e+04
1.399889147538921801e-06 -2.438658176348116831e+04
1.411711614919432623e-06 -2.418236140867408903e+04
1.423633926444895000e-06 -2.397985131002425987e+04
1.435656925327894284e-06 -2.377903714488558762e+04
1.447781461902188679e-06 -2.357990471055755916e+04
1.460008393682850066e-06 -2.338243992327725937e+04
1.472338585426912827e-06 -2.318662881723281680e+04
1.484772909194533231e-06 -2.299245754356533507e+04
1.497312244410666977e-06 -2.279991236939666123e+04
1.509957477927267464e-06 -2.260897967685488038e+04
1.522709504086008157e-06 -2.241964596210917807e+04
1.535569224781535406e-06 -2.223189783442267799e+04
1.548537549525256590e-06 -2.204572201519720329e+04
1.561615395509664649e-06 -2.186110533703286637e+04
1.574803687673207679e-06 -2.167803474281158196e+04
1.588103358765705282e-06 -2.149649728475160009e+04
1.601515349414318463e-06 -2.131648012350825593e+04
1.615040608190075593e-06 -2.113797052726665788e+04
1.628680091674961019e-06 -2.096095587081945996e+04
1.642434764529569281e-06 -2.078542363470635610e+04
1.656305599561332344e-06 -2.061136140430414525e+04
1.670293577793320697e-06 -2.043875686895760737e+04
1.684399688533627847e-06 -2.026759782110786909e+04
1.698624929445339046e-06 -2.009787215542846388e+04
1.712970306617092106e-06 -1.992956786797435052e+04
1.727436834634233673e-06 -1.976267305531776219e+04
1.742025536650575191e-06 -1.959717591373012692e+04
1.756737444460758116e-06 -1.943306473832664415e+04
1.771573598573226215e-06 -1.927032792224160221e+04
1.786535048283817492e-06 -1.910895395582106357e+04
