# r  vx
9.999999999999999547e-07 -3.547027049112581153e+04
1.008445288258213243e-06 -3.517322917253748165e+04
1.016961899410190874e-06 -3.487867544508682477e+04
1.025550435798330311e-06 -3.458658847628252988e+04
1.034211504851983217e-06 -3.429694760809549189e+04
1.042945719130418868e-06 -3.400973235551500693e+04
1.051753696366144806e-06 -3.372492240506237431e+04
1.060636059508598284e-06 -3.344249761338599637e+04
1.069593436768204045e-06 -3.316243800582895346e+04
1.078626461660804592e-06 -3.288472377500173752e+04
1.087735773052466747e-06 -3.260933527940187923e+04
1.096922015204665350e-06 -3.233625304201322069e+04
1.106185837819848981e-06 -3.206545774893907947e+04
1.115527896087390852e-06 -3.179693024801369756e+04
1.124948850729927237e-06 -3.153065154746621192e+04
1.134449368050087210e-06 -3.126660281458733152e+04
1.144030119977618180e-06 -3.100476537436611397e+04
1.153691784116907609e-06 -3.074512070819549263e+04
1.163435043794907293e-06 -3.048765045255297446e+04
1.173260588109462307e-06 -3.023233639769735237e+04
1.183169111978047587e-06 -2.997916048639568544e+04
1.193161316186916594e-06 -2.972810481262366739e+04
1.203237907440664177e-06 -2.947915162032587978e+04
1.213399598412209984e-06 -2.923228330214008747e+04
1.223647107793201584e-06 -2.898748239814697445e+04
1.233981160344844280e-06 -2.874473159467018922e+04
1.244402486949160998e-06 -2.850401372300570438e+04
1.254911824660684168e-06 -2.826531175824185993e+04
1.265509916758584040e-06 -2.802860881804031305e+04
1.276197512799237876e-06 -2.779388816144144221e+04
1.286975368669242353e-06 -2.756113318769154648e+04
1.297844246638874472e-06 -2.733032743505233520e+04
1.308804915416003512e-06 -2.710145457965548849e+04
1.319858150200458262e-06 -2.687449843432420676e+04
1.331004732738853135e-06 -2.664944294745296793e+04
1.342245451379879091e-06 -2.642627220186142222e+04
1.353581101130057672e-06 -2.620497041366013582e+04
1.365012483709971078e-06 -2.598552193115486079e+04
1.376540407610961487e-06 -2.576791123371634239e+04
1.388165688152314468e-06 -2.555212293069838051e+04
1.399889147538921801e-06 -2.533814176034583579e+04
1.411711614919432623e-06 -2.512595258871350234e+04
1.423633926444895000e-06 -2.491554040859523957e+04
1.435656925327894284e-06 -2.470689033846272650e+04
1.447781461902188679e-06 -2.449998762142031046e+04
1.460008393682850066e-06 -2.429481762414526384e+04
1.472338585426912827e-06 -2.409136583586657071e+04
1.484772909194533231e-06 -2.388961786733864574e+04
1.497312244410666977e-06 -2.368955944981642824e+04
1.509957477927267464e-06 -2.349117643404669798e+04
1.522709504086008157e-06 -2.329445478927355362e+04
1.535569224781535406e-06 -2.309938060224168294e+04
1.548537549525256590e-06 -2.290594007621432684e+04
1.561615395509664649e-06 -2.271411952999084679e+04
1.574803687673207679e-06 -2.252390539695139523e+04
1.588103358765705282e-06 -2.233528422409267660e+04
1.601515349414318463e-06 -2.214824267106093976e+04
1.615040608190075593e-06 -2.196276750923713189e+04
1.628680091674961019e-06 -2.177884562077778173e+04
1.642434764529569281e-06 -2.159646399769802156e+04
1.656305599561332344e-06 -2.141560974095118945e+04
1.670293577793320697e-06 -2.123627005950806415e+04
1.684399688533627847e-06 -2.105843226946375216e+04
1.698624929445339046e-06 -2.088208379313827754e+04
1.712970306617092106e-06 -2.070721215817831035e+04
1.727436834634233673e-06 -2.053380499668079574e+04
1.742025536650575191e-06 -2.036185004432469941e+04
