# r  vx
9.999999999999999547e-07 -3.205505642960706246e+04
1.004386785698002682e-06 -3.191511352661095952e+04
1.008792815284765558e-06 -3.177578184187926308e+04
1.013218173179104541e-06 -3.163705870579742623e+04
1.017662944170163050e-06 -3.149894146047706090e+04
1.022127213419035944e-06 -3.136142745960071989e+04
1.026611066460401961e-06 -3.122451406841750577e+04
1.031114589204161672e-06 -3.108819866370949603e+04
1.035637867937084322e-06 -3.095247863367314130e+04
1.040180989324460604e-06 -3.081735137794851471e+04
1.044744040411763482e-06 -3.068281430751626249e+04
1.049327108626315356e-06 -3.054886484466099137e+04
1.053930281778963714e-06 -3.041550042294537343e+04
1.058553648065763543e-06 -3.028271848712252904e+04
1.063197296069667166e-06 -3.015051649310786524e+04
1.067861314762220633e-06 -3.001889190792787849e+04
1.072545793505269650e-06 -2.988784220969383023e+04
1.077250822052671637e-06 -2.975736488750540957e+04
1.081976490552013943e-06 -2.962745744143345291e+04
1.086722889546342422e-06 -2.949811738247537869e+04
1.091490109975896583e-06 -2.936934223250388823e+04
1.096278243179850240e-06 -2.924112952420329748e+04
1.101087380898062970e-06 -2.911347680102771119e+04
1.105917615272837912e-06 -2.898638161719248455e+04
1.110769038850686138e-06 -2.885984153755867010e+04
1.115641744584100344e-06 -2.873385413764035184e+04
1.120535825833336580e-06 -2.860841700354354543e+04
1.125451376368201911e-06 -2.848352773191421147e+04
1.130388490369851194e-06 -2.835918392989437416e+04
1.135347262432592517e-06 -2.823538321506257125e+04
1.140327787565698379e-06 -2.811212321544092993e+04
1.145330161195226590e-06 -2.798940156937082793e+04
1.150354479165848809e-06 -2.786721592552476432e+04
1.155400837742686907e-06 -2.774556394285843635e+04
1.160469333613156752e-06 -2.762444329053254478e+04
1.165560063888821721e-06 -2.750385164788673865e+04
1.170673126107252156e-06 -2.738378670441403665e+04
1.175808618233895610e-06 -2.726424615969034130e+04
1.180966638663952387e-06 -2.714522772333094690e+04
1.186147286224261679e-06 -2.702672911497105451e+04
1.191350660175194891e-06 -2.690874806418914886e+04
1.196576860212557442e-06 -2.679128231048993257e+04
1.201825986469498829e-06 -2.667432960324565647e+04
1.207098139518431149e-06 -2.655788770166367249e+04
1.212393420372956320e-06 -2.644195437474015489e+04
1.217711930489800907e-06 -2.632652740120807357e+04
1.223053771770760705e-06 -2.621160456949942454e+04
1.228419046564652933e-06 -2.609718367771452540e+04
1.233807857669276694e-06 -2.598326253357640599e+04
1.239220308333383599e-06 -2.586983895436473540e+04
1.244656502258654950e-06 -2.575691076690265982e+04
1.250116543601689305e-06 -2.564447580750682027e+04
1.255600536975997663e-06 -2.553253192194053918e+04
1.261108587454008393e-06 -2.542107696537948141e+04
1.266640800569079994e-06 -2.531010880236096273e+04
1.272197282317523175e-06 -2.519962530675576272e+04
1.277778139160631404e-06 -2.508962436171470108e+04
1.283383478026721836e-06 -2.498010385963821318e+04
1.289013406313182379e-06 -2.487106170213468431e+04
1.294668031888530828e-06 -2.476249579997418914e+04
1.300347463094480572e-06 -2.465440407304318433e+04
1.306051808748017515e-06 -2.454678445032650779e+04
1.311781178143483777e-06 -2.443963486985761483e+04
1.317535681054672622e-06 -2.433295327865741274e+04
1.323315427736931636e-06 -2.422673763272544238e+04
1.329120528929274171e-06 -2.412098589699060540e+04
1.334951095856502856e-06 -2.401569604526482362e+04
1.340807240231339038e-06 -2.391086606020996260e+04
1.346689074256564506e-06 -2.380649393330003659e+04
1.352596710627169563e-06 -2.370257766478857593e+04
1.358530262532514447e-06 -2.359911526364790552e+04
1.364489843658495825e-06 -2.349610474756515760e+04
1.370475568189726636e-06 -2.339354414286316023e+04
1.376487550811723551e-06 -2.329143148450248918e+04
1.382525906713102908e-06 -2.318976481603051070e+04
1.388590751587790195e-06 -2.308854218951480289e+04
1.394682201637234410e-06 -2.298776166555592135e+04
1.400800373572635327e-06 -2.288742131321040142e+04
1.406945384617180518e-06 -2.278751920997449997e+04
1.413117352508289986e-06 -2.268805344174311904e+04
1.419316395499872873e-06 -2.258902210277228733e+04
1.425542632364592214e-06 -2.249042329562607119e+04
1.431796182396142397e-06 -2.239225513116446746e+04
1.438077165411532767e-06 -2.229451572852300160e+04
1.444385701753384139e-06 -2.219720321500678983e+04
1.450721912292235483e-06 -2.210031572613690514e+04
1.457085918428858018e-06 -2.200385140556728220e+04
1.463477842096582859e-06 -2.190780840504280059e+04
1.469897805763636074e-06 -2.181218488440877263e+04
1.476345932435485389e-06 -2.171697901152964550e+04
1.482822345657197692e-06 -2.162218896227105142e+04
1.489327169515805435e-06 -2.152781292047468014e+04
1.495860528642684249e-06 -2.143384907792034574e+04
1.502422548215940734e-06 -2.134029563426003733e+04
1.509013353962810834e-06 -2.124715079702879302e+04
1.515633072162070066e-06 -2.115441278159851208e+04
1.522281829646450530e-06 -2.106207981110987748e+04
1.528959753805072952e-06 -2.097015011648075961e+04
1.535666972585886562e-06 -2.087862193636185839e+04
1.542403614498121469e-06 -2.078749351707790265e+04
1.549169808614749288e-06 -2.069676311262525996e+04
1.555965684574957961e-06 -2.060642898462809899e+04
1.562791372586634407e-06 -2.051648940229738218e+04
1.569647003428859462e-06 -2.042694264240211851e+04
1.576532708454414038e-06 -2.033778698924536366e+04
1.583448619592295227e-06 -2.024902073461551117e+04
1.590394869350244705e-06 -2.016064217776532314e+04
1.597371590817287069e-06 -2.007264962537969404e+04
1.604378917666280047e-06 -1.998504139153196957e+04
1.611416984156475497e-06 -1.989781579766801588e+04
1.618485925136091854e-06 -1.981097117255070043e+04
1.625585876044897572e-06 -1.972450585225646500e+04
1.632716972916806227e-06 -1.963841818012240037e+04
1.639879352382483891e-06 -1.955270650672342526e+04
1.647073151671965411e-06 -1.946736918984228396e+04
1.654298508617284020e-06 -1.938240459441956773e+04
1.661555561655113441e-06 -1.929781109255058254e+04
1.668844449829418896e-06 -1.921358706344674283e+04
1.676165312794121864e-06 -1.912973089337733109e+04
1.683518290815775017e-06 -1.904624097567779245e+04
1.690903524776251544e-06 -1.896311571069374622e+04
1.698321156175442534e-06 -1.888035350575113989e+04
1.705771327133968111e-06 -1.879795277515817361e+04
1.713254180395902340e-06 -1.871591194011299740e+04
1.720769859331506607e-06 -1.863422942872922067e+04
1.728318507939976117e-06 -1.855290367599199089e+04
1.735900270852200377e-06 -1.847193312370248532e+04
1.743515293333533844e-06 -1.839131622047969722e+04
1.751163721286578209e-06 -1.831105142172367050e+04
1.758845701253979308e-06 -1.823113718957043966e+04
1.766561380421233549e-06 -1.815157199287229378e+04
1.774310906619509378e-06 -1.807235430717864438e+04
1.782094428328478067e-06 -1.799348261468513738e+04
1.789912094679159531e-06 -1.791495540422749764e+04
1.797764055456780216e-06 -1.783677117123962671e+04
1.805650461103641155e-06 -1.775892841771684471e+04
1.813571462722002536e-06 -1.768142565220878532e+04
1.821527212076977167e-06 -1.760426138977578012e+04
1.829517861599439192e-06 -1.752743415195911439e+04
1.837543564388943805e-06 -1.745094246676455441e+04
1.845604474216662014e-06 -1.737478486862625505e+04
1.853700745528325563e-06 -1.729895989836940134e+04
1.861832533447186035e-06 -1.722346610320786567e+04
1.869999993776988157e-06 -1.714830203668685863e+04
1.878203283004954105e-06 -1.707346625867834882e+04
1.886442558304782000e-06 -1.699895733533913517e+04
1.894717977539656902e-06 -1.692477383908924821e+04
1.903029699265276407e-06 -1.685091434858702996e+04
1.911377882732887687e-06 -1.677737744869774542e+04
1.919762687892339137e-06 -1.670416173046540644e+04
1.928184275395144094e-06 -1.663126579108290025e+04
1.936642806597561280e-06 -1.655868823388360033e+04
1.945138443563683091e-06 -1.648642766829096945e+04
1.953671349068543355e-06 -1.641448270980157031e+04
1.962241686601234840e-06 -1.634285197996556053e+04
1.970849620368042003e-06 -1.627153410634699321e+04
1.979495315295586026e-06 -1.620052772250760609e+04
1.988178937033988482e-06 -1.612983146797520931e+04
1.996900651960039239e-06 -1.605944398822318544e+04
2.005660627180389350e-06 -1.598936393464086905e+04
2.014459030534751569e-06 -1.591958996449628648e+04
2.023296030599113568e-06 -1.585012074094147465e+04
2.032171796688971486e-06 -1.578095493295789129e+04
2.041086498862571102e-06 -1.571209121532934842e+04
2.050040307924167639e-06 -1.564352826864655617e+04
2.059033395427298279e-06 -1.557526477925254221e+04
2.068065933678068647e-06 -1.550729943923027167e+04
2.077138095738454125e-06 -1.543963094637377071e+04
2.086250055429615982e-06 -1.537225800416594029e+04
2.095401987335231915e-06 -1.530517932175499300e+04
2.104594066804840125e-06 -1.523839361391364400e+04
2.113826469957201201e-06 -1.517189960105552564e+04
2.123099373683669304e-06 -1.510569600915388946e+04
2.132412955651582841e-06 -1.503978156975767524e+04
2.141767394307670812e-06 -1.497415501996640342e+04
2.151162868881468041e-06 -1.490881510237771363e+04
2.160599559388751594e-06 -1.484376056509109185e+04
2.170077646634989046e-06 -1.477899016167469381e+04
2.179597312218802850e-06 -1.471450265113675960e+04
2.189158738535449096e-06 -1.465029679790423324e+04
2.198762108780314068e-06 -1.458637137180570971e+04
2.208407606952421804e-06 -1.452272514804179264e+04
2.218095417857961143e-06 -1.445935690715943747e+04
2.227825727113825051e-06 -1.439626543503254652e+04
2.237598721151170703e-06 -1.433344952284158353e+04
2.247414587218985911e-06 -1.427090796704134300e+04
2.257273513387680548e-06 -1.420863956934494126e+04
2.267175688552689824e-06 -1.414664313670192860e+04
2.277121302438091961e-06 -1.408491748126832135e+04
2.287110545600244513e-06 -1.402346142039516963e+04
2.297143609431434647e-06 -1.396227377659162266e+04
2.307220686163546799e-06 -1.390135337750686267e+04
2.317341968871745149e-06 -1.384069905592360556e+04
2.327507651478173038e-06 -1.378030964971715548e+04
2.337717928755669326e-06 -1.372018400182476944e+04
2.347972996331498721e-06 -1.366032096025642204e+04
2.358273050691102446e-06 -1.360071937804578920e+04
2.368618289181859487e-06 -1.354137811323490496e+04
2.379008910016869861e-06 -1.348229602885506210e+04
2.389445112278752722e-06 -1.342347199290265598e+04
2.399927095923459692e-06 -1.336490487832046165e+04
2.410455061784105576e-06 -1.330659356296638180e+04
2.421029211574818122e-06 -1.324853692961166598e+04
2.431649747894601340e-06 -1.319073386589887923e+04
2.442316874231217030e-06 -1.313318326432942376e+04
2.453030794965085370e-06 -1.307588402224162564e+04
2.463791715373197782e-06 -1.301883504179326883e+04
2.474599841633054792e-06 -1.296203522993561273e+04
2.485455380826610234e-06 -1.290548349839385628e+04
2.496358540944244264e-06 -1.284917876364284712e+04
2.507309530888745256e-06 -1.279311994689518542e+04
2.518308560479313730e-06 -1.273730597407235291e+04
2.529355840455581524e-06 -1.268173577578936784e+04
2.540451582481652139e-06 -1.262640828732812770e+04
2.551595999150150827e-06 -1.257132244862311381e+04
2.562789303986303481e-06 -1.251647720423916689e+04
2.574031711452024837e-06 -1.246187150334882972e+04
2.585323436950027854e-06 -1.240750429972064921e+04
2.596664696827951307e-06 -1.235337455167917142e+04
2.608055708382504320e-06 -1.229948122211368354e+04
2.619496689863631224e-06 -1.224582327843738858e+04
2.630987860478689972e-06 -1.219239969256720178e+04
2.642529440396656390e-06 -1.213920944092064747e+04
2.654121650752339854e-06 -1.208625150437931006e+04
2.665764713650619307e-06 -1.203352486827615030e+04
2.677458852170702139e-06 -1.198102852238194282e+04
2.689204290370394925e-06 -1.192876146086940025e+04
2.701001253290399580e-06 -1.187672268231385715e+04
2.712849966958620941e-06 -1.182491118965959686e+04
2.724750658394501884e-06 -1.177332599020611997e+04
2.736703555613370299e-06 -1.172196609559489298e+04
2.748708887630808081e-06 -1.167083052176805904e+04
2.760766884467039611e-06 -1.161991828898259701e+04
2.772877777151338868e-06 -1.156922842177072198e+04
2.785041797726456024e-06 -1.151875994891695518e+04
2.797259179253061822e-06 -1.146851190345829855e+04
2.809530155814215680e-06 -1.141848332264690544e+04
2.821854962519849034e-06 -1.136867324794574597e+04
2.834233835511268587e-06 -1.131908072500217349e+04
2.846667011965684975e-06 -1.126970480362630769e+04
2.859154730100752010e-06 -1.122054453778931747e+04
2.871697229179134312e-06 -1.117159898558833265e+04
2.884294749513091448e-06 -1.112286720923046778e+04
2.896947532469079863e-06 -1.107434827502305961e+04
2.909655820472378946e-06 -1.102604125335476056e+04
2.922419857011737438e-06 -1.097794521867062031e+04
2.935239886644035494e-06 -1.093005924945325751e+04
2.948116154998972165e-06 -1.088238242821937456e+04
2.961048908783772362e-06 -1.083491384149039914e+04
2.974038395787912028e-06 -1.078765257977162219e+04
2.987084864887864911e-06 -1.074059773754576963e+04
3.000188566051875169e-06 -1.069374841325429406e+04
3.013349750344742688e-06 -1.064710370926514770e+04
3.026568669932634644e-06 -1.060066273187448496e+04
3.039845578087918261e-06 -1.055442459128779592e+04
3.053180729194010909e-06 -1.050838840158054882e+04
3.066574378750256484e-06 -1.046255328071100121e+04
3.080026783376819557e-06 -1.041691835048616485e+04
3.093538200819602402e-06 -1.037148273654674631e+04
3.107108889955182353e-06 -1.032624556835444855e+04
3.120739110795774992e-06 -1.028120597917283339e+04
3.134429124494211314e-06 -1.023636310604937535e+04
3.148179193348945388e-06 -1.019171608980132078e+04
3.161989580809078107e-06 -1.014726407500141249e+04
3.175860551479404658e-06 -1.010300620995596182e+04
3.189792371125485286e-06 -1.005894164668972189e+04
3.203785306678736808e-06 -1.001506954093155764e+04
3.217839626241546149e-06 -9.971389052103655558e+03
3.231955599092408873e-06 -9.927899343290700926e+03
3.246133495691087184e-06 -9.884599581239182953e+03
3.260373587683792076e-06 -9.841488936331235891e+03
3.274676147908388776e-06 -9.798566582575384018e+03
3.289041450399623780e-06 -9.755831697583460482e+03
3.303469770394375191e-06 -9.713283462565717855e+03
3.317961384336925074e-06 -9.670921062303175859e+03
3.332516569884259338e-06 -9.628743685136805652e+03
3.347135605911384567e-06 -9.586750522959364389e+03
3.361818772516672372e-06 -9.544940771184619734e+03
3.376566351027224921e-06 -9.503313628746596805e+03
3.391378624004267997e-06 -9.461868298075702114e+03
3.406255875248562270e-06 -9.420603985085281238e+03
3.421198389805840401e-06 -9.379519899157488908e+03
3.436206453972269979e-06 -9.338615253130295969e+03
3.451280355299940179e-06 -9.297889263274943005e+03
3.466420382602367053e-06 -9.257341149289481109e+03
3.481626825960032700e-06 -9.216970134277016768e+03
3.496899976725936298e-06 -9.176775444736902500e+03
3.512240127531183672e-06 -9.136756310542174106e+03
3.527647572290587881e-06 -9.096911964937644370e+03
3.543122606208306216e-06 -9.057241644511632330e+03
3.558665525783490761e-06 -9.017744589180578259e+03
3.574276628815973253e-06 -8.978420042195530186e+03
3.589956214411967733e-06 -8.939267250099461307e+03
3.605704582989806226e-06 -8.900285462731913867e+03
3.621522036285688827e-06 -8.861473933211751500e+03
3.637408877359468091e-06 -8.822831917910756601e+03
3.653365410600456709e-06 -8.784358676457655747e+03
3.669391941733256369e-06 -8.746053471710125450e+03
3.685488777823617952e-06 -8.707915569746379333e+03
3.701656227284323754e-06 -8.669944239853002728e+03
3.717894599881097233e-06 -8.632138754502115262e+03
3.734204206738536898e-06 -8.594498389347680131e+03
3.750585360346079001e-06 -8.557022423208871260e+03
3.767038374563983090e-06 -8.519710138048571025e+03
3.783563564629347641e-06 -8.482560818971500339e+03
3.800161247162147709e-06 -8.445573754201059273e+03
3.816831740171302221e-06 -8.408748235071530871e+03
3.833575363060768382e-06 -8.372083556015586510e+03
3.850392436635658945e-06 -8.335579014538960109e+03
3.867283283108389554e-06 -8.299233911220533628e+03
3.884248226104854460e-06 -8.263047549699507726e+03
3.901287590670623416e-06 -8.227019236645905039e+03
3.918401703277172446e-06 -8.191148281762734769e+03
3.935590891828138344e-06 -8.155433997772981456e+03
3.952855485665599417e-06 -8.119875700391756254e+03
3.970195815576388426e-06 -8.084472708330753449e+03
3.987612213798429235e-06 -8.049224343273092927e+03
4.005105014027100575e-06 -8.014129929867011015e+03
4.022674551421633678e-06 -7.979188795707549616e+03
4.040321162611529403e-06 -7.944400271329136558e+03
4.058045185703010931e-06 -7.909763690189241970e+03
4.075846960285501874e-06 -7.875278388657545293e+03
4.093726827438129792e-06 -7.840943705999284248e+03
4.111685129736264443e-06 -7.806758984367013909e+03
4.129722211258082287e-06 -7.772723568791884645e+03
4.147838417591153861e-06 -7.738836807153871632e+03
4.166034095839067576e-06 -7.705098050192373194e+03
4.184309594628085705e-06 -7.671506651478623098e+03
4.202665264113816457e-06 -7.638061967403244125e+03
4.221101455987922481e-06 -7.604763357176920181e+03
4.239618523484869179e-06 -7.571610182798971437e+03
4.258216821388679787e-06 -7.538601809061023232e+03
4.276896706039742142e-06 -7.505737603529559237e+03
4.295658535341631521e-06 -7.473016936529483246e+03
4.314502668767971618e-06 -7.440439181140186520e+03
4.333429467369316680e-06 -7.408003713175548910e+03
4.352439293780076004e-06 -7.375709911176782043e+03
4.371532512225456219e-06 -7.343557156403636327e+03
4.390709488528439989e-06 -7.311544832810885055e+03
4.409970590116801143e-06 -7.279672327047457657e+03
4.429316186030137586e-06 -7.247939028442728159e+03
4.448746646926946567e-06 -7.216344328991753173e+03
4.468262345091721968e-06 -7.184887623344784515e+03
4.487863654442094791e-06 -7.153568308795568555e+03
4.507550950535988048e-06 -7.122385785273972942e+03
4.527324610578816534e-06 -7.091339455324443406e+03
4.547185013430719653e-06 -7.060428724105584479e+03
4.567132539613809466e-06 -7.029652999373322928e+03
4.587167571319469584e-06 -6.999011691470374899e+03
4.607290492415676068e-06 -6.968504213311570311e+03
4.627501688454347984e-06 -6.938129980380287634e+03
4.647801546678742844e-06 -6.907888410713022495e+03
4.668190456030868151e-06 -6.877778924883163199e+03
