# r  vx
9.999999999999999547e-07 -2.834408226954784550e+04
1.004386785698002682e-06 -2.822034700048156083e+04
1.008792815284765558e-06 -2.809715216080096070e+04
1.013218173179104541e-06 -2.797449539006530540e+04
1.017662944170163050e-06 -2.785237433821658487e+04
1.022127213419035944e-06 -2.773078666542576684e+04
1.026611066460401961e-06 -2.760973004208753264e+04
1.031114589204161672e-06 -2.748920214879220657e+04
1.035637867937084322e-06 -2.736920067622626811e+04
1.040180989324460604e-06 -2.724972332519406700e+04
1.044744040411763482e-06 -2.713076780652622620e+04
1.049327108626315356e-06 -2.701233184104637621e+04
1.053930281778963714e-06 -2.689441315955434402e+04
1.058553648065763543e-06 -2.677700950273712442e+04
1.063197296069667166e-06 -2.666011862116149496e+04
1.067861314762220633e-06 -2.654373827521243584e+04
1.072545793505269650e-06 -2.642786623507371405e+04
1.077250822052671637e-06 -2.631250028064784055e+04
1.081976490552013943e-06 -2.619763820153670895e+04
1.086722889546342422e-06 -2.608327779700977044e+04
1.091490109975896583e-06 -2.596941687593998358e+04
1.096278243179850240e-06 -2.585605325676930806e+04
1.101087380898062970e-06 -2.574318476745946464e+04
1.105917615272837912e-06 -2.563080924548539770e+04
1.110769038850686138e-06 -2.551892453773881425e+04
1.115641744584100344e-06 -2.540752850052700160e+04
1.120535825833336580e-06 -2.529661899952059321e+04
1.125451376368201911e-06 -2.518619390971666508e+04
1.130388490369851194e-06 -2.507625111539059799e+04
1.135347262432592517e-06 -2.496678851003712043e+04
1.140327787565698379e-06 -2.485780399639489406e+04
1.145330161195226590e-06 -2.474929548632154547e+04
1.150354479165848809e-06 -2.464126090081522852e+04
1.155400837742686907e-06 -2.453369816995865767e+04
1.160469333613156752e-06 -2.442660523285875752e+04
1.165560063888821721e-06 -2.431998003763290035e+04
1.170673126107252156e-06 -2.421382054136084844e+04
1.175808618233895610e-06 -2.410812471004287727e+04
1.180966638663952387e-06 -2.400289051856570222e+04
1.186147286224261679e-06 -2.389811595066398877e+04
1.191350660175194891e-06 -2.379379899886382555e+04
1.196576860212557442e-06 -2.368993766447339294e+04
1.201825986469498829e-06 -2.358652995752618517e+04
1.207098139518431149e-06 -2.348357389674732985e+04
1.212393420372956320e-06 -2.338106750951916547e+04
1.217711930489800907e-06 -2.327900883183267069e+04
1.223053771770760705e-06 -2.317739590825827690e+04
1.228419046564652933e-06 -2.307622679190635972e+04
1.233807857669276694e-06 -2.297549954440257716e+04
1.239220308333383599e-06 -2.287521223582331004e+04
1.244656502258654950e-06 -2.277536294467691914e+04
1.250116543601689305e-06 -2.267594975787304793e+04
1.255600536975997663e-06 -2.257697077066400016e+04
1.261108587454008393e-06 -2.247842408663696915e+04
1.266640800569079994e-06 -2.238030781764922358e+04
1.272197282317523175e-06 -2.228262008380729094e+04
1.277778139160631404e-06 -2.218535901343039222e+04
1.283383478026721836e-06 -2.208852274301281068e+04
1.289013406313182379e-06 -2.199210941718906543e+04
1.294668031888530828e-06 -2.189611718869749893e+04
1.300347463094480572e-06 -2.180054421833189917e+04
1.306051808748017515e-06 -2.170538867493696307e+04
1.311781178143483777e-06 -2.161064873535226434e+04
1.317535681054672622e-06 -2.151632258436755728e+04
1.323315427736931636e-06 -2.142240841471390377e+04
1.329120528929274171e-06 -2.132890442700927088e+04
1.334951095856502856e-06 -2.123580882973335974e+04
1.340807240231339038e-06 -2.114311983918848637e+04
1.346689074256564506e-06 -2.105083567946425319e+04
1.352596710627169563e-06 -2.095895458241930828e+04
1.358530262532514447e-06 -2.086747478762409446e+04
1.364489843658495825e-06 -2.077639454234061486e+04
1.370475568189726636e-06 -2.068571210148083628e+04
1.376487550811723551e-06 -2.059542572758754977e+04
1.382525906713102908e-06 -2.050553369079343611e+04
1.388590751587790195e-06 -2.041603426877288075e+04
1.394682201637234410e-06 -2.032692574673671334e+04
1.400800373572635327e-06 -2.023820641737664846e+04
1.406945384617180518e-06 -2.014987458084700847e+04
1.413117352508289986e-06 -2.006192854472339604e+04
1.419316395499872873e-06 -1.997436662397971668e+04
1.425542632364592214e-06 -1.988718714093622839e+04
1.431796182396142397e-06 -1.980038842524063148e+04
1.438077165411532767e-06 -1.971396881386448513e+04
1.444385701753384139e-06 -1.962792665100587328e+04
1.450721912292235483e-06 -1.954226028811247670e+04
1.457085918428858018e-06 -1.945696808384051110e+04
1.463477842096582859e-06 -1.937204840399384921e+04
1.469897805763636074e-06 -1.928749962152925946e+04
1.476345932435485389e-06 -1.920332011650843197e+04
1.482822345657197692e-06 -1.911950827606056555e+04
1.489327169515805435e-06 -1.903606249436516373e+04
1.495860528642684249e-06 -1.895298117262207234e+04
1.502422548215940734e-06 -1.887026271899760104e+04
1.509013353962810834e-06 -1.878790554861832061e+04
1.515633072162070066e-06 -1.870590808354418914e+04
1.522281829646450530e-06 -1.862426875271124663e+04
1.528959753805072952e-06 -1.854298599191985340e+04
1.535666972585886562e-06 -1.846205824380948616e+04
1.542403614498121469e-06 -1.838148395781805812e+04
1.549169808614749288e-06 -1.830126159015260419e+04
1.555965684574957961e-06 -1.822138960376677642e+04
1.562791372586634407e-06 -1.814186646832740735e+04
1.569647003428859462e-06 -1.806269066018154990e+04
1.576532708454414038e-06 -1.798386066233742895e+04
1.583448619592295227e-06 -1.790537496441947951e+04
1.590394869350244705e-06 -1.782723206265750923e+04
1.597371590817287069e-06 -1.774943045984802302e+04
1.604378917666280047e-06 -1.767196866531947671e+04
1.611416984156475497e-06 -1.759484519492469917e+04
1.618485925136091854e-06 -1.751805857098140041e+04
1.625585876044897572e-06 -1.744160732227482004e+04
1.632716972916806227e-06 -1.736548998401104836e+04
1.639879352382483891e-06 -1.728970509779281929e+04
1.647073151671965411e-06 -1.721425121159890477e+04
1.654298508617284020e-06 -1.713912687973907668e+04
1.661555561655113441e-06 -1.706433066284278539e+04
1.668844449829418896e-06 -1.698986112783342105e+04
1.676165312794121864e-06 -1.691571684787891354e+04
1.683518290815775017e-06 -1.684189640239276923e+04
1.690903524776251544e-06 -1.676839837698428892e+04
1.698321156175442534e-06 -1.669522136343985767e+04
1.705771327133968111e-06 -1.662236395971032834e+04
1.713254180395902340e-06 -1.654982476984940877e+04
1.720769859331506607e-06 -1.647760240401820192e+04
1.728318507939976117e-06 -1.640569547845669513e+04
1.735900270852200377e-06 -1.633410261543192428e+04
1.743515293333533844e-06 -1.626282244323340637e+04
1.751163721286578209e-06 -1.619185359615434936e+04
1.758845701253979308e-06 -1.612119471443882139e+04
1.766561380421233549e-06 -1.605084444427020753e+04
1.774310906619509378e-06 -1.598080143775524266e+04
1.782094428328478067e-06 -1.591106435287388740e+04
1.789912094679159531e-06 -1.584163185347972831e+04
1.797764055456780216e-06 -1.577250260926028386e+04
1.805650461103641155e-06 -1.570367529570294755e+04
1.813571462722002536e-06 -1.563514859409060591e+04
1.821527212076977167e-06 -1.556692119146497680e+04
1.829517861599439192e-06 -1.549899178059590486e+04
1.837543564388943805e-06 -1.543135905997048394e+04
1.845604474216662014e-06 -1.536402173375580969e+04
1.853700745528325563e-06 -1.529697851177633675e+04
1.861832533447186035e-06 -1.523022810950112034e+04
1.869999993776988157e-06 -1.516376924799718836e+04
