# r  vx
9.999999999999999547e-07 -3.059551777193106682e+04
1.004386785698002682e-06 -3.046194931624763922e+04
1.008792815284765558e-06 -3.032896423763675557e+04
1.013218173179104541e-06 -3.019655998806716889e+04
1.017662944170163050e-06 -3.006473403072971632e+04
1.022127213419035944e-06 -2.993348383984511383e+04
1.026611066460401961e-06 -2.980280690067641990e+04
1.031114589204161672e-06 -2.967270070948739885e+04
1.035637867937084322e-06 -2.954316277345264098e+04
1.040180989324460604e-06 -2.941419061065861024e+04
1.044744040411763482e-06 -2.928578175000910051e+04
1.049327108626315356e-06 -2.915793373121096738e+04
1.053930281778963714e-06 -2.903064410472636882e+04
1.058553648065763543e-06 -2.890391043170324701e+04
1.063197296069667166e-06 -2.877773028393776258e+04
1.067861314762220633e-06 -2.865210124383808215e+04
1.072545793505269650e-06 -2.852702090438692903e+04
1.077250822052671637e-06 -2.840248686905051363e+04
1.081976490552013943e-06 -2.827849675178046527e+04
1.086722889546342422e-06 -2.815504817694773010e+04
1.091490109975896583e-06 -2.803213877930157105e+04
1.096278243179850240e-06 -2.790976620391388497e+04
1.101087380898062970e-06 -2.778792810613411712e+04
1.105917615272837912e-06 -2.766662215158995605e+04
1.110769038850686138e-06 -2.754584601605697753e+04
1.115641744584100344e-06 -2.742559738548979294e+04
1.120535825833336580e-06 -2.730587395594623376e+04
1.125451376368201911e-06 -2.718667343354461991e+04
1.130388490369851194e-06 -2.706799353442726715e+04
1.135347262432592517e-06 -2.694983198468904084e+04
1.140327787565698379e-06 -2.683218652039293374e+04
1.145330161195226590e-06 -2.671505488746209812e+04
1.150354479165848809e-06 -2.659843484167055431e+04
1.155400837742686907e-06 -2.648232414860715653e+04
1.160469333613156752e-06 -2.636672058360212759e+04
1.165560063888821721e-06 -2.625162193170905448e+04
1.170673126107252156e-06 -2.613702598765834045e+04
1.175808618233895610e-06 -2.602293055581048611e+04
1.180966638663952387e-06 -2.590933345011294296e+04
1.186147286224261679e-06 -2.579623249407157346e+04
1.191350660175194891e-06 -2.568362552068228979e+04
1.196576860212557442e-06 -2.557151037241421363e+04
1.201825986469498829e-06 -2.545988490116195680e+04
1.207098139518431149e-06 -2.534874696819551173e+04
1.212393420372956320e-06 -2.523809444413742676e+04
1.217711930489800907e-06 -2.512792520889907610e+04
1.223053771770760705e-06 -2.501823715165283284e+04
1.228419046564652933e-06 -2.490902817079270608e+04
1.233807857669276694e-06 -2.480029617390066778e+04
1.239220308333383599e-06 -2.469203907768180943e+04
