# r  vx
9.999999999999999547e-07 -3.016299815614378531e+04
1.004386785698002682e-06 -3.003131912179815117e+04
1.008792815284765558e-06 -2.990021521215550456e+04
1.013218173179104541e-06 -2.976968391535056799e+04
1.017662944170163050e-06 -2.963972273040931395e+04
1.022127213419035944e-06 -2.951032916728385680e+04
1.026611066460401961e-06 -2.938150074683452476e+04
1.031114589204161672e-06 -2.925323500072180832e+04
1.035637867937084322e-06 -2.912552947138229865e+04
1.040180989324460604e-06 -2.899838171201942896e+04
1.044744040411763482e-06 -2.887178928649449517e+04
1.049327108626315356e-06 -2.874574976931038691e+04
1.053930281778963714e-06 -2.862026074557930042e+04
1.058553648065763543e-06 -2.849531981094474759e+04
1.063197296069667166e-06 -2.837092457156277669e+04
1.067861314762220633e-06 -2.824707264404346643e+04
1.072545793505269650e-06 -2.812376165539570138e+04
1.077250822052671637e-06 -2.800098924300795989e+04
1.081976490552013943e-06 -2.787875305457488139e+04
1.086722889546342422e-06 -2.775705074807763231e+04
1.091490109975896583e-06 -2.763587999171330375e+04
1.096278243179850240e-06 -2.751523846387341473e+04
1.101087380898062970e-06 -2.739512385308703961e+04
1.105917615272837912e-06 -2.727553385797244846e+04
1.110769038850686138e-06 -2.715646618720965489e+04
1.115641744584100344e-06 -2.703791855947603108e+04
1.120535825833336580e-06 -2.691988870342273367e+04
1.125451376368201911e-06 -2.680237435761760935e+04
1.130388490369851194e-06 -2.668537327049824671e+04
1.135347262432592517e-06 -2.656888320034640856e+04
1.140327787565698379e-06 -2.645290191523947578e+04
1.145330161195226590e-06 -2.633742719298343582e+04
1.150354479165848809e-06 -2.622245682109690824e+04
1.155400837742686907e-06 -2.610798859678224835e+04
1.160469333613156752e-06 -2.599402032683890866e+04
1.165560063888821721e-06 -2.588054982764966189e+04
1.170673126107252156e-06 -2.576757492514227488e+04
1.175808618233895610e-06 -2.565509345472964560e+04
1.180966638663952387e-06 -2.554310326129713212e+04
1.186147286224261679e-06 -2.543160219912310640e+04
1.191350660175194891e-06 -2.532058813185750842e+04
1.196576860212557442e-06 -2.521005893250982263e+04
1.201825986469498829e-06 -2.510001248333397598e+04
1.207098139518431149e-06 -2.499044667587399817e+04
1.212393420372956320e-06 -2.488135941086611274e+04
1.217711930489800907e-06 -2.477274859820300844e+04
1.223053771770760705e-06 -2.466461215693629129e+04
1.228419046564652933e-06 -2.455694801517067754e+04
1.233807857669276694e-06 -2.444975411009716481e+04
1.239220308333383599e-06 -2.434302838788874942e+04
1.244656502258654950e-06 -2.423676880369629725e+04
1.250116543601689305e-06 -2.413097332160148289e+04
1.255600536975997663e-06 -2.402563991458993405e+04
1.261108587454008393e-06 -2.392076656448359427e+04
1.266640800569079994e-06 -2.381635126192162716e+04
1.272197282317523175e-06 -2.371239200633782093e+04
1.277778139160631404e-06 -2.360888680587330236e+04
1.283383478026721836e-06 -2.350583367739517053e+04
1.289013406313182379e-06 -2.340323064641785459e+04
1.294668031888530828e-06 -2.330107574708815446e+04
1.300347463094480572e-06 -2.319936702213191893e+04
1.306051808748017515e-06 -2.309810252281987414e+04
1.311781178143483777e-06 -2.299728030895481788e+04
1.317535681054672622e-06 -2.289689844879337761e+04
1.323315427736931636e-06 -2.279695501902752949e+04
1.329120528929274171e-06 -2.269744810476165003e+04
1.334951095856502856e-06 -2.259837579946713959e+04
1.340807240231339038e-06 -2.249973620492887858e+04
1.346689074256564506e-06 -2.240152743122266111e+04
1.352596710627169563e-06 -2.230374759668817205e+04
1.358530262532514447e-06 -2.220639482788785608e+04
1.364489843658495825e-06 -2.210946725954838257e+04
1.370475568189726636e-06 -2.201296303455553061e+04
1.376487550811723551e-06 -2.191688030390574932e+04
1.382525906713102908e-06 -2.182121722666364076e+04
1.388590751587790195e-06 -2.172597196994990372e+04
1.394682201637234410e-06 -2.163114270887503517e+04
1.400800373572635327e-06 -2.153672762651923767e+04
1.406945384617180518e-06 -2.144272491392137454e+04
1.413117352508289986e-06 -2.134913276998975562e+04
1.419316395499872873e-06 -2.125594940151621267e+04
1.425542632364592214e-06 -2.116317302313552136e+04
1.431796182396142397e-06 -2.107080185724619878e+04
