# r   n   gradn   gradn2   lapl   tau_KS   tauTF   s2   q   tau_vW
# Si Z=14  Koga1999  E=-288.854362454 Ha  T_KS=288.85433432 Ha
9.999999999999999547e-07 1.765567362817816274e+03 -4.943775630914318754e+04 2.444091748882226944e+09 -9.887411717245121765e+10 1.783166172921571124e+05 7.405295757550678682e+05 1.402013087828692939e-01 -1.001385904185217441e+04 1.730386928554723272e+05
1.004386785698002682e-06 1.765567145944987487e+03 -4.943775018762175750e+04 2.444091143613695145e+09 -9.844225373728610229e+10 1.783165954785397626e+05 7.405294241506028920e+05 1.402013199868386573e-01 -9.970122441474963125e+03 1.730386712583465851e+05
1.008792815284765558e-06 1.765566928120810417e+03 -4.943774403924724174e+04 2.444090535690126419e+09 -9.801227652003105164e+10 1.783165735692333255e+05 7.405292718811124796e+05 1.402013312399580935e-01 -9.926576866204522958e+03 1.730386495664812974e+05
1.013218173179104541e-06 1.765566709341114347e+03 -4.943773786390194437e+04 2.444089925099884033e+09 -9.758417728239215088e+10 1.783165515638182987e+05 7.405291189436812419e+05 1.402013425424434578e-01 -9.883221481714646870e+03 1.730386277794613561e+05
1.017662944170163050e-06 1.765566489601704916e+03 -4.943773166146744916e+04 2.444089311831261158e+09 -9.715794782205686951e+10 1.783165294618728221e+05 7.405289653353774920e+05 1.402013538945110771e-01 -9.840055457323176597e+03 1.730386058968688594e+05
1.022127213419035944e-06 1.765566268898372527e+03 -4.943772543182500522e+04 2.444088695872517109e+09 -9.673357997253765869e+10 1.783165072629736969e+05 7.405288110532583669e+05 1.402013652963790824e-01 -9.797077965976057385e+03 1.730385839182851487e+05
1.026611066460401961e-06 1.765566047226891669e+03 -4.943771917485526501e+04 2.444088077211852074e+09 -9.631106560301499939e+10 1.783164849666955706e+05 7.405286560943705263e+05 1.402013767482652162e-01 -9.754288184231465493e+03 1.730385618432888296e+05
1.031114589204161672e-06 1.765565824583012954e+03 -4.943771289043832803e+04 2.444087455837411880e+09 -9.589039661818170166e+10 1.783164625726114318e+05 7.405285004557435168e+05 1.402013882503893583e-01 -9.711685292244108496e+03 1.730385396714570525e+05
1.035637867937084322e-06 1.765565600962472672e+03 -4.943770657845384994e+04 2.444086831737298965e+09 -9.547156495808796692e+10 1.783164400802921446e+05 7.405283441343967570e+05 1.402013998029718045e-01 -9.669268473749438272e+03 1.730385174023653090e+05
1.040180989324460604e-06 1.765565376360984374e+03 -4.943770023878078064e+04 2.444086204899545193e+09 -9.505456259798655701e+10 1.783164174893063318e+05 7.405281871273342986e+05 1.402014114062336836e-01 -9.627036916048056810e+03 1.730384950355862384e+05
1.044744040411763482e-06 1.765565150774246604e+03 -4.943769387129776442e+04 2.444085575312152386e+09 -9.463938154817968750e+10 1.783163947992219473e+05 7.405280294315493666e+05 1.402014230603976785e-01 -9.584989809990136564e+03 1.730384725706919271e+05
1.049327108626315356e-06 1.765564924197938808e+03 -4.943768747588281258e+04 2.444084942963060379e+09 -9.422601385386544800e+10 1.783163720096038305e+05 7.405278710440215655e+05 1.402014347656866666e-01 -9.543126349959900836e+03 1.730384500072519004e+05
1.053930281778963714e-06 1.765564696627716785e+03 -4.943768105241335434e+04 2.444084307840150356e+09 -9.381445159498545837e+10 1.783163491200154531e+05 7.405277119617145509e+05 1.402014465223254958e-01 -9.501445733860229666e+03 1.730384273448338499e+05
1.058553648065763543e-06 1.765564468059224964e+03 -4.943767460076636053e+04 2.444083669931259155e+09 -9.340468688607327271e+10 1.783163261300183658e+05 7.405275521815837128e+05 1.402014583305387085e-01 -9.459947163097211160e+03 1.730384045830034302e+05
1.063197296069667166e-06 1.765564238488079809e+03 -4.943766812081821263e+04 2.444083029224165440e+09 -9.299671187610311890e+10 1.783163030391721404e+05 7.405273917005647672e+05 1.402014701905534289e-01 -9.418629842564963838e+03 1.730383817213248985e+05
