# r  vx
9.999999999999999547e-07 -3.197469320131370114e+04
1.004386785698002682e-06 -3.183528549493180253e+04
1.008792815284765558e-06 -3.169648666918015442e+04
1.013218173179104541e-06 -3.155829406468029265e+04
1.017662944170163050e-06 -3.142070503370490769e+04
1.022127213419035944e-06 -3.128371694006248072e+04
1.026611066460401961e-06 -3.114732715907921374e+04
1.031114589204161672e-06 -3.101153307755094283e+04
1.035637867937084322e-06 -3.087633209368844109e+04
1.040180989324460604e-06 -3.074172161706213956e+04
1.044744040411763482e-06 -3.060769906854837609e+04
1.049327108626315356e-06 -3.047426188030654521e+04
1.053930281778963714e-06 -3.034140749570357730e+04
1.058553648065763543e-06 -3.020913336925789554e+04
1.063197296069667166e-06 -3.007743696663145602e+04
1.067861314762220633e-06 -2.994631576453534217e+04
1.072545793505269650e-06 -2.981576725070868997e+04
1.077250822052671637e-06 -2.968578892387374435e+04
1.081976490552013943e-06 -2.955637829364871141e+04
1.086722889546342422e-06 -2.942753288056066594e+04
1.091490109975896583e-06 -2.929925021594749342e+04
1.096278243179850240e-06 -2.917152784192890613e+04
1.101087380898062970e-06 -2.904436331137662637e+04
1.105917615272837912e-06 -2.891775418783128771e+04
1.110769038850686138e-06 -2.879169804548087995e+04
1.115641744584100344e-06 -2.866619246911162918e+04
1.120535825833336580e-06 -2.854123505406733238e+04
1.125451376368201911e-06 -2.841682340616501824e+04
1.130388490369851194e-06 -2.829295514170654133e+04
1.135347262432592517e-06 -2.816962788740550604e+04
1.140327787565698379e-06 -2.804683928031471078e+04
1.145330161195226590e-06 -2.792458696783576670e+04
1.150354479165848809e-06 -2.780286860763070581e+04
1.155400837742686907e-06 -2.768168186759783202e+04
1.160469333613156752e-06 -2.756102442581147261e+04
1.165560063888821721e-06 -2.744089397049958279e+04
1.170673126107252156e-06 -2.732128819998616746e+04
1.175808618233895610e-06 -2.720220482263376471e+04
1.180966638663952387e-06 -2.708364155683756690e+04
1.186147286224261679e-06 -2.696559613093019288e+04
1.191350660175194891e-06 -2.684806628318768344e+04
1.196576860212557442e-06 -2.673104976176410128e+04
1.201825986469498829e-06 -2.661454432462294062e+04
1.207098139518431149e-06 -2.649854773955280689e+04
1.212393420372956320e-06 -2.638305778408248807e+04
1.217711930489800907e-06 -2.626807224542790209e+04
1.223053771770760705e-06 -2.615358892049415590e+04
1.228419046564652933e-06 -2.603960561579852947e+04
1.233807857669276694e-06 -2.592612014743994223e+04
1.239220308333383599e-06 -2.581313034105200495e+04
1.244656502258654950e-06 -2.570063403176455176e+04
1.250116543601689305e-06 -2.558862906417986960e+04
1.255600536975997663e-06 -2.547711329228784234e+04
1.261108587454008393e-06 -2.536608457946669296e+04
1.266640800569079994e-06 -2.525554079843356521e+04
1.272197282317523175e-06 -2.514547983117389958e+04
1.277778139160631404e-06 -2.503589956894474744e+04
1.283383478026721836e-06 -2.492679791221353298e+04
1.289013406313182379e-06 -2.481817277059015760e+04
1.294668031888530828e-06 -2.471002206284717249e+04
1.300347463094480572e-06 -2.460234371683815698e+04
1.306051808748017515e-06 -2.449513566945755156e+04
1.311781178143483777e-06 -2.438839586661562498e+04
1.317535681054672622e-06 -2.428212226319781621e+04
1.323315427736931636e-06 -2.417631282301891042e+04
1.329120528929274171e-06 -2.407096551878080936e+04
1.334951095856502856e-06 -2.396607833205516727e+04
1.340807240231339038e-06 -2.386164925321833289e+04
1.346689074256564506e-06 -2.375767628141976093e+04
1.352596710627169563e-06 -2.365415742456171574e+04
1.358530262532514447e-06 -2.355109069923563584e+04
1.364489843658495825e-06 -2.344847413070196126e+04
1.370475568189726636e-06 -2.334630575284313818e+04
1.376487550811723551e-06 -2.324458360812288083e+04
1.382525906713102908e-06 -2.314330574757258364e+04
1.388590751587790195e-06 -2.304247023072045340e+04
1.394682201637234410e-06 -2.294207512556982692e+04
1.400800373572635327e-06 -2.284211850857259924e+04
1.406945384617180518e-06 -2.274259846457208187e+04
1.413117352508289986e-06 -2.264351308678019996e+04
1.419316395499872873e-06 -2.254486047674155634e+04
1.425542632364592214e-06 -2.244663874428197596e+04
1.431796182396142397e-06 -2.234884600749622768e+04
1.438077165411532767e-06 -2.225148039268766661e+04
1.444385701753384139e-06 -2.215454003433836260e+04
1.450721912292235483e-06 -2.205802307510382161e+04
1.457085918428858018e-06 -2.196192766572161418e+04
1.463477842096582859e-06 -2.186625196502648396e+04
1.469897805763636074e-06 -2.177099413987888693e+04
1.476345932435485389e-06 -2.167615236516129880e+04
1.482822345657197692e-06 -2.158172482372060767e+04
1.489327169515805435e-06 -2.148770970633313118e+04
1.495860528642684249e-06 -2.139410521169756248e+04
1.502422548215940734e-06 -2.130090954635548042e+04
1.509013353962810834e-06 -2.120812092469292111e+04
1.515633072162070066e-06 -2.111573756890407822e+04
1.522281829646450530e-06 -2.102375770893084700e+04
1.528959753805072952e-06 -2.093217958245667978e+04
1.535666972585886562e-06 -2.084100143486047091e+04
1.542403614498121469e-06 -2.075022151917664087e+04
1.549169808614749288e-06 -2.065983809608984302e+04
1.555965684574957961e-06 -2.056984943385909719e+04
1.562791372586634407e-06 -2.048025380831311122e+04
1.569647003428859462e-06 -2.039104950281942729e+04
1.576532708454414038e-06 -2.030223480824008584e+04
1.583448619592295227e-06 -2.021380802289921121e+04
1.590394869350244705e-06 -2.012576745254942580e+04
1.597371590817287069e-06 -2.003811141034875982e+04
1.604378917666280047e-06 -1.995083821682161943e+04
1.611416984156475497e-06 -1.986394619982835502e+04
1.618485925136091854e-06 -1.977743369453878040e+04
1.625585876044897572e-06 -1.969129904337669723e+04
1.632716972916806227e-06 -1.960554059601710105e+04
1.639879352382483891e-06 -1.952015670935150047e+04
1.647073151671965411e-06 -1.943514574742738114e+04
1.654298508617284020e-06 -1.935050608145285878e+04
1.661555561655113441e-06 -1.926623608974912349e+04
1.668844449829418896e-06 -1.918233415771424552e+04
1.676165312794121864e-06 -1.909879867779716733e+04
1.683518290815775017e-06 -1.901562804947398399e+04
1.690903524776251544e-06 -1.893282067920953341e+04
1.698321156175442534e-06 -1.885037498042811058e+04
1.705771327133968111e-06 -1.876828937348406907e+04
1.713254180395902340e-06 -1.868656228562711840e+04
1.720769859331506607e-06 -1.860519215098518544e+04
1.728318507939976117e-06 -1.852417741051165285e+04
1.735900270852200377e-06 -1.844351651198240143e+04
1.743515293333533844e-06 -1.836320790995138668e+04
1.751163721286578209e-06 -1.828325006571041376e+04
1.758845701253979308e-06 -1.820364144728278916e+04
1.766561380421233549e-06 -1.812438052938435794e+04
1.774310906619509378e-06 -1.804546579338322772e+04
1.782094428328478067e-06 -1.796689572728879648e+04
1.789912094679159531e-06 -1.788866882571316819e+04
1.797764055456780216e-06 -1.781078358983632643e+04
1.805650461103641155e-06 -1.773323852739346330e+04
1.813571462722002536e-06 -1.765603215263117818e+04
1.821527212076977167e-06 -1.757916298629198354e+04
1.829517861599439192e-06 -1.750262955557028545e+04
1.837543564388943805e-06 -1.742643039410020356e+04
1.845604474216662014e-06 -1.735056404192074478e+04
1.853700745528325563e-06 -1.727502904543893965e+04
1.861832533447186035e-06 -1.719982395741913206e+04
1.869999993776988157e-06 -1.712494733694610477e+04
1.878203283004954105e-06 -1.705039774939288327e+04
1.886442558304782000e-06 -1.697617376640356088e+04
1.894717977539656902e-06 -1.690227396585686074e+04
1.903029699265276407e-06 -1.682869693184606876e+04
1.911377882732887687e-06 -1.675544125464631725e+04
1.919762687892339137e-06 -1.668250553068873705e+04
1.928184275395144094e-06 -1.660988836254338457e+04
1.936642806597561280e-06 -1.653758835886685483e+04
1.945138443563683091e-06 -1.646560413440922639e+04
1.953671349068543355e-06 -1.639393430996818643e+04
1.962241686601234840e-06 -1.632257751234878560e+04
1.970849620368042003e-06 -1.625153237437875214e+04
1.979495315295586026e-06 -1.618079753484039065e+04
1.988178937033988482e-06 -1.611037163846446310e+04
1.996900651960039239e-06 -1.604025333590183436e+04
2.005660627180389350e-06 -1.597044128369904138e+04
2.014459030534751569e-06 -1.590093414426631352e+04
2.023296030599113568e-06 -1.583173058585962099e+04
2.032171796688971486e-06 -1.576282928255303523e+04
2.041086498862571102e-06 -1.569422891420088854e+04
2.050040307924167639e-06 -1.562592816643897822e+04
2.059033395427298279e-06 -1.555792573063143391e+04
2.068065933678068647e-06 -1.549022030386005099e+04
2.077138095738454125e-06 -1.542281058890772329e+04
2.086250055429615982e-06 -1.535569529421382322e+04
2.095401987335231915e-06 -1.528887313385099696e+04
2.104594066804840125e-06 -1.522234282752758918e+04
2.113826469957201201e-06 -1.515610310052786735e+04
2.123099373683669304e-06 -1.509015268370935701e+04
2.132412955651582841e-06 -1.502449031348169410e+04
2.141767394307670812e-06 -1.495911473175108767e+04
2.151162868881468041e-06 -1.489402468594044512e+04
2.160599559388751594e-06 -1.482921892893376207e+04
2.170077646634989046e-06 -1.476469621905882195e+04
2.179597312218802850e-06 -1.470045532007629299e+04
2.189158738535449096e-06 -1.463649500114017974e+04
2.198762108780314068e-06 -1.457281403677849812e+04
2.208407606952421804e-06 -1.450941120687712464e+04
2.218095417857961143e-06 -1.444628529664331472e+04
2.227825727113825051e-06 -1.438343509660170093e+04
2.237598721151170703e-06 -1.432085940254867637e+04
2.247414587218985911e-06 -1.425855701553985091e+04
2.257273513387680548e-06 -1.419652674187918819e+04
2.267175688552689824e-06 -1.413476739307441130e+04
2.277121302438091961e-06 -1.407327778582557403e+04
2.287110545600244513e-06 -1.401205674199744317e+04
2.297143609431434647e-06 -1.395110308861338854e+04
2.307220686163546799e-06 -1.389041565780513156e+04
2.317341968871745149e-06 -1.382999328681204679e+04
2.327507651478173038e-06 -1.376983481795342959e+04
2.337717928755669326e-06 -1.370993909859889936e+04
2.347972996331498721e-06 -1.365030498116026320e+04
2.358273050691102446e-06 -1.359093132305642030e+04
2.368618289181859487e-06 -1.353181698669670004e+04
2.379008910016869861e-06 -1.347296083945991268e+04
2.389445112278752722e-06 -1.341436175367140640e+04
2.399927095923459692e-06 -1.335601860658177611e+04
2.410455061784105576e-06 -1.329793028034852250e+04
2.421029211574818122e-06 -1.324009566200917288e+04
2.431649747894601340e-06 -1.318251364345626644e+04
2.442316874231217030e-06 -1.312518312143377261e+04
2.453030794965085370e-06 -1.306810299749159822e+04
2.463791715373197782e-06 -1.301127217798777019e+04
2.474599841633054792e-06 -1.295468957405779656e+04
2.485455380826610234e-06 -1.289835410157717706e+04
2.496358540944244264e-06 -1.284226468117690456e+04
2.507309530888745256e-06 -1.278642023818692905e+04
2.518308560479313730e-06 -1.273081970263862604e+04
2.529355840455581524e-06 -1.267546200923634569e+04
