# r  vx
9.999999999999999547e-07 -2.845317786920964136e+04
1.004386785698002682e-06 -2.832914873780412381e+04
1.008792815284765558e-06 -2.820566131916029917e+04
1.013218173179104541e-06 -2.808271324727077808e+04
1.017662944170163050e-06 -2.796030216648966234e+04
1.022127213419035944e-06 -2.783842573143155096e+04
1.026611066460401961e-06 -2.771708160696247796e+04
1.031114589204161672e-06 -2.759626746814681610e+04
1.035637867937084322e-06 -2.747598100021064238e+04
1.040180989324460604e-06 -2.735621989848360681e+04
1.044744040411763482e-06 -2.723698186835702290e+04
1.049327108626315356e-06 -2.711826462525433089e+04
1.053930281778963714e-06 -2.700006589457198061e+04
1.058553648065763543e-06 -2.688238341164117446e+04
1.063197296069667166e-06 -2.676521492168368059e+04
1.067861314762220633e-06 -2.664855817976726030e+04
1.072545793505269650e-06 -2.653241095077320279e+04
1.077250822052671637e-06 -2.641677100934044574e+04
1.081976490552013943e-06 -2.630163613981603339e+04
1.086722889546342422e-06 -2.618700413624615612e+04
1.091490109975896583e-06 -2.607287280229401222e+04
1.096278243179850240e-06 -2.595923995121819098e+04
1.101087380898062970e-06 -2.584610340584103324e+04
1.105917615272837912e-06 -2.573346099847949517e+04
1.110769038850686138e-06 -2.562131057092211267e+04
1.115641744584100344e-06 -2.550964997438327919e+04
1.120535825833336580e-06 -2.539847706947691768e+04
1.125451376368201911e-06 -2.528778972612865618e+04
1.130388490369851194e-06 -2.517758582359556021e+04
1.135347262432592517e-06 -2.506786325039487929e+04
1.140327787565698379e-06 -2.495861990424944452e+04
1.145330161195226590e-06 -2.484985369208279008e+04
1.150354479165848809e-06 -2.474156252994622992e+04
1.155400837742686907e-06 -2.463374434300509165e+04
1.160469333613156752e-06 -2.452639706546846355e+04
1.165560063888821721e-06 -2.441951864059039508e+04
1.170673126107252156e-06 -2.431310702059532559e+04
1.175808618233895610e-06 -2.420716016664818380e+04
1.180966638663952387e-06 -2.410167604883735839e+04
1.186147286224261679e-06 -2.399665264608800862e+04
1.191350660175194891e-06 -2.389208794617958119e+04
1.196576860212557442e-06 -2.378797994566867055e+04
1.201825986469498829e-06 -2.368432664985226438e+04
1.207098139518431149e-06 -2.358112607276074777e+04
1.212393420372956320e-06 -2.347837623709205945e+04
1.217711930489800907e-06 -2.337607517416117844e+04
1.223053771770760705e-06 -2.327422092390495527e+04
1.228419046564652933e-06 -2.317281153481101137e+04
1.233807857669276694e-06 -2.307184506389417948e+04
1.239220308333383599e-06 -2.297131957665283335e+04
1.244656502258654950e-06 -2.287123314702483185e+04
1.250116543601689305e-06 -2.277158385738684592e+04
1.255600536975997663e-06 -2.267236979846288523e+04
1.261108587454008393e-06 -2.257358906932777245e+04
1.266640800569079994e-06 -2.247523977736823144e+04
1.272197282317523175e-06 -2.237732003821616672e+04
1.277778139160631404e-06 -2.227982797575192672e+04
1.283383478026721836e-06 -2.218276172204559771e+04
1.289013406313182379e-06 -2.208611941731268598e+04
1.294668031888530828e-06 -2.198989920991066174e+04
1.300347463094480572e-06 -2.189409925627789198e+04
1.306051808748017515e-06 -2.179871772089768638e+04
1.311781178143483777e-06 -2.170375277627383912e+04
1.317535681054672622e-06 -2.160920260289961152e+04
1.323315427736931636e-06 -2.151506538920630192e+04
1.329120528929274171e-06 -2.142133933153301768e+04
1.334951095856502856e-06 -2.132802263411433887e+04
1.340807240231339038e-06 -2.123511350901492187e+04
1.346689074256564506e-06 -2.114261017610325871e+04
1.352596710627169563e-06 -2.105051086303981720e+04
1.358530262532514447e-06 -2.095881380521220854e+04
1.364489843658495825e-06 -2.086751724572115199e+04
1.370475568189726636e-06 -2.077661943533662270e+04
1.376487550811723551e-06 -2.068611863247218571e+04
1.382525906713102908e-06 -2.059601310315020237e+04
1.388590751587790195e-06 -2.050630112096109224e+04
1.394682201637234410e-06 -2.041698096703588089e+04
1.400800373572635327e-06 -2.032805093001832574e+04
1.406945384617180518e-06 -2.023950930602011067e+04
1.413117352508289986e-06 -2.015135439859829057e+04
1.419316395499872873e-06 -2.006358451872274964e+04
1.425542632364592214e-06 -1.997619798473106857e+04
1.431796182396142397e-06 -1.988919312231786171e+04
1.438077165411532767e-06 -1.980256826447945787e+04
1.444385701753384139e-06 -1.971632175149520481e+04
1.450721912292235483e-06 -1.963045193090471003e+04
1.457085918428858018e-06 -1.954495715744802146e+04
1.463477842096582859e-06 -1.945983579306443789e+04
1.469897805763636074e-06 -1.937508620683482513e+04
1.476345932435485389e-06 -1.929070677497762881e+04
1.482822345657197692e-06 -1.920669588079710229e+04
1.489327169515805435e-06 -1.912305191464900781e+04
1.495860528642684249e-06 -1.903977327394262466e+04
1.502422548215940734e-06 -1.895685836306284546e+04
1.509013353962810834e-06 -1.887430559336951046e+04
1.515633072162070066e-06 -1.879211338317763511e+04
1.522281829646450530e-06 -1.871028015768909972e+04
1.528959753805072952e-06 -1.862880434899439933e+04
1.535666972585886562e-06 -1.854768439602891885e+04
1.542403614498121469e-06 -1.846691874454604476e+04
1.549169808614749288e-06 -1.838650584709653413e+04
1.555965684574957961e-06 -1.830644416297831049e+04
1.562791372586634407e-06 -1.822673215821585109e+04
1.569647003428859462e-06 -1.814736830554569678e+04
1.576532708454414038e-06 -1.806835108437328381e+04
1.583448619592295227e-06 -1.798967898073544711e+04
1.590394869350244705e-06 -1.791135048729111077e+04
1.597371590817287069e-06 -1.783336410327265912e+04
1.604378917666280047e-06 -1.775571833447595054e+04
1.611416984156475497e-06 -1.767841169322788119e+04
1.618485925136091854e-06 -1.760144269834135412e+04
1.625585876044897572e-06 -1.752480987509753322e+04
1.632716972916806227e-06 -1.744851175522862104e+04
1.639879352382483891e-06 -1.737254687687789192e+04
1.647073151671965411e-06 -1.729691378456279199e+04
1.654298508617284020e-06 -1.722161102917017342e+04
1.661555561655113441e-06 -1.714663716791307525e+04
1.668844449829418896e-06 -1.707199076430328569e+04
1.676165312794121864e-06 -1.699767038812594910e+04
1.683518290815775017e-06 -1.692367461541227749e+04
1.690903524776251544e-06 -1.685000202842036379e+04
1.698321156175442534e-06 -1.677665121559542240e+04
1.705771327133968111e-06 -1.670362077154320286e+04
1.713254180395902340e-06 -1.663090929701523055e+04
1.720769859331506607e-06 -1.655851539887304534e+04
1.728318507939976117e-06 -1.648643769005543800e+04
1.735900270852200377e-06 -1.641467478956812920e+04
1.743515293333533844e-06 -1.634322532245167895e+04
1.751163721286578209e-06 -1.627208791973656844e+04
1.758845701253979308e-06 -1.620126121844375120e+04
1.766561380421233549e-06 -1.613074386154956846e+04
1.774310906619509378e-06 -1.606053449794787412e+04
1.782094428328478067e-06 -1.599063178244137634e+04
1.789912094679159531e-06 -1.592103437570582719e+04
1.797764055456780216e-06 -1.585174094426309784e+04
1.805650461103641155e-06 -1.578275016046500059e+04
1.813571462722002536e-06 -1.571406070245675255e+04
1.821527212076977167e-06 -1.564567125416295494e+04
1.829517861599439192e-06 -1.557758050524965438e+04
1.837543564388943805e-06 -1.550978715111002566e+04
1.845604474216662014e-06 -1.544228989283684678e+04
1.853700745528325563e-06 -1.537508743718791629e+04
1.861832533447186035e-06 -1.530817849657817169e+04
1.869999993776988157e-06 -1.524156178904563603e+04
1.878203283004954105e-06 -1.517523603822137193e+04
1.886442558304782000e-06 -1.510919997331641753e+04
1.894717977539656902e-06 -1.504345232908937214e+04
1.903029699265276407e-06 -1.497799184582737871e+04
1.911377882732887687e-06 -1.491281726931571575e+04
1.919762687892339137e-06 -1.484792735082168110e+04
1.928184275395144094e-06 -1.478332084706870228e+04
1.936642806597561280e-06 -1.471899652019688801e+04
1.945138443563683091e-06 -1.465495313777172487e+04
1.953671349068543355e-06 -1.459118947272966579e+04
1.962241686601234840e-06 -1.452770430336281242e+04
1.970849620368042003e-06 -1.446449641331743987e+04
1.979495315295586026e-06 -1.440156459153249853e+04
1.988178937033988482e-06 -1.433890763224687726e+04
1.996900651960039239e-06 -1.427652433496097365e+04
2.005660627180389350e-06 -1.421441350442269686e+04
2.014459030534751569e-06 -1.415257395059903865e+04
2.023296030599113568e-06 -1.409100448865311773e+04
2.032171796688971486e-06 -1.402970393892669381e+04
2.041086498862571102e-06 -1.396867112690617796e+04
2.050040307924167639e-06 -1.390790488321705925e+04
2.059033395427298279e-06 -1.384740404358535852e+04
2.068065933678068647e-06 -1.378716744882386229e+04
2.077138095738454125e-06 -1.372719394481387280e+04
2.086250055429615982e-06 -1.366748238247091831e+04
2.095401987335231915e-06 -1.360803161772561907e+04
2.104594066804840125e-06 -1.354884051151963104e+04
2.113826469957201201e-06 -1.348990792975268050e+04
2.123099373683669304e-06 -1.343123274328938533e+04
2.132412955651582841e-06 -1.337281382793003831e+04
2.141767394307670812e-06 -1.331465006436350086e+04
2.151162868881468041e-06 -1.325674033819192300e+04
2.160599559388751594e-06 -1.319908353987130067e+04
2.170077646634989046e-06 -1.314167856470348306e+04
2.179597312218802850e-06 -1.308452431282390899e+04
2.189158738535449096e-06 -1.302761968916381738e+04
2.198762108780314068e-06 -1.297096360343884589e+04
2.208407606952421804e-06 -1.291455497012948581e+04
2.218095417857961143e-06 -1.285839270845274768e+04
2.227825727113825051e-06 -1.280247574235194588e+04
2.237598721151170703e-06 -1.274680300046581215e+04
2.247414587218985911e-06 -1.269137341611099509e+04
2.257273513387680548e-06 -1.263618592726909083e+04
2.267175688552689824e-06 -1.258123947655614575e+04
2.277121302438091961e-06 -1.252653301120739525e+04
2.287110545600244513e-06 -1.247206548305085744e+04
2.297143609431434647e-06 -1.241783584850488660e+04
2.307220686163546799e-06 -1.236384306853552152e+04
2.317341968871745149e-06 -1.231008610864613365e+04
2.327507651478173038e-06 -1.225656393886683691e+04
2.337717928755669326e-06 -1.220327553371934300e+04
2.347972996331498721e-06 -1.215021987220576557e+04
2.358273050691102446e-06 -1.209739593779255847e+04
2.368618289181859487e-06 -1.204480271837754844e+04
2.379008910016869861e-06 -1.199243920628307751e+04
2.389445112278752722e-06 -1.194030439823239249e+04
2.399927095923459692e-06 -1.188839729533157151e+04
2.410455061784105576e-06 -1.183671690305244192e+04
2.421029211574818122e-06 -1.178526223120472059e+04
2.431649747894601340e-06 -1.173403229392232424e+04
2.442316874231217030e-06 -1.168302610965197164e+04
2.453030794965085370e-06 -1.163224270111874466e+04
2.463791715373197782e-06 -1.158168109532392191e+04
2.474599841633054792e-06 -1.153134032351854512e+04
2.485455380826610234e-06 -1.148121942117519029e+04
2.496358540944244264e-06 -1.143131742798945743e+04
2.507309530888745256e-06 -1.138163338784495863e+04
2.518308560479313730e-06 -1.133216634880506717e+04
2.529355840455581524e-06 -1.128291536308807190e+04
2.540451582481652139e-06 -1.123387948705413874e+04
2.551595999150150827e-06 -1.118505778118497983e+04
2.562789303986303481e-06 -1.113644931006109800e+04
2.574031711452024837e-06 -1.108805314235431615e+04
2.585323436950027854e-06 -1.103986835080167475e+04
2.596664696827951307e-06 -1.099189401218973580e+04
2.608055708382504320e-06 -1.094412920733824467e+04
2.619496689863631224e-06 -1.089657302108241493e+04
2.630987860478689972e-06 -1.084922454225342335e+04
2.642529440396656390e-06 -1.080208286365676031e+04
2.654121650752339854e-06 -1.075514708207222429e+04
2.665764713650619307e-06 -1.070841629821613242e+04
2.677458852170702139e-06 -1.066188961673075391e+04
2.689204290370394925e-06 -1.061556614617828382e+04
2.701001253290399580e-06 -1.056944499900281517e+04
2.712849966958620941e-06 -1.052352529153258365e+04
2.724750658394501884e-06 -1.047780614395591874e+04
2.736703555613370299e-06 -1.043228668029796972e+04
2.748708887630808081e-06 -1.038696602841180174e+04
2.760766884467039611e-06 -1.034184331996732544e+04
