# r  vx
9.999999999999999547e-07 -3.062104472321117646e+04
1.004386785698002682e-06 -3.048754818860442901e+04
1.008792815284765558e-06 -3.035463471684324395e+04
1.013218173179104541e-06 -3.022230176131107146e+04
1.017662944170163050e-06 -3.009054678654651070e+04
1.022127213419035944e-06 -2.995936726813748828e+04
1.026611066460401961e-06 -2.982876069270650260e+04
1.031114589204161672e-06 -2.969872455784946942e+04
1.035637867937084322e-06 -2.956925637209990600e+04
1.040180989324460604e-06 -2.944035365487108356e+04
1.044744040411763482e-06 -2.931201393639545859e+04
1.049327108626315356e-06 -2.918423475771335870e+04
1.053930281778963714e-06 -2.905701367060209304e+04
1.058553648065763543e-06 -2.893034823751306249e+04
1.063197296069667166e-06 -2.880423603156601166e+04
1.067861314762220633e-06 -2.867867463646554461e+04
1.072545793505269650e-06 -2.855366164647995538e+04
1.077250822052671637e-06 -2.842919466638598897e+04
1.081976490552013943e-06 -2.830527131140215351e+04
1.086722889546342422e-06 -2.818188920718729787e+04
1.091490109975896583e-06 -2.805904598975690533e+04
1.096278243179850240e-06 -2.793673930545397161e+04
1.101087380898062970e-06 -2.781496681090588390e+04
1.105917615272837912e-06 -2.769372617296904718e+04
1.110769038850686138e-06 -2.757301506869241712e+04
1.115641744584100344e-06 -2.745283118526505859e+04
1.120535825833336580e-06 -2.733317221999832327e+04
1.125451376368201911e-06 -2.721403588023054544e+04
1.130388490369851194e-06 -2.709541988332932306e+04
1.135347262432592517e-06 -2.697732195664684332e+04
1.140327787565698379e-06 -2.685973983742681594e+04
1.145330161195226590e-06 -2.674267127282761794e+04
1.150354479165848809e-06 -2.662611401982811367e+04
1.155400837742686907e-06 -2.651006584521652985e+04
1.160469333613156752e-06 -2.639452452551829992e+04
1.165560063888821721e-06 -2.627948784698662348e+04
1.170673126107252156e-06 -2.616495360554117724e+04
1.175808618233895610e-06 -2.605091960671400739e+04
1.180966638663952387e-06 -2.593738366564596799e+04
1.186147286224261679e-06 -2.582434360699191166e+04
1.191350660175194891e-06 -2.571179726493271301e+04
1.196576860212557442e-06 -2.559974248310008988e+04
1.201825986469498829e-06 -2.548817711452774165e+04
1.207098139518431149e-06 -2.537709902165351377e+04
1.212393420372956320e-06 -2.526650607624532859e+04
1.217711930489800907e-06 -2.515639615934562244e+04
1.223053771770760705e-06 -2.504676716127138934e+04
1.228419046564652933e-06 -2.493761698155244085e+04
1.233807857669276694e-06 -2.482894352888629146e+04
1.239220308333383599e-06 -2.472074472110682109e+04
1.244656502258654950e-06 -2.461301848514025187e+04
