# r  vx
9.999999999999999547e-07 -3.011005355130238968e+04
1.004386785698002682e-06 -2.997879007032334266e+04
1.008792815284765558e-06 -2.984809989902636880e+04
1.013218173179104541e-06 -2.971798053343408174e+04
1.017662944170163050e-06 -2.958842948046804304e+04
1.022127213419035944e-06 -2.945944425795086136e+04
1.026611066460401961e-06 -2.933102239455068047e+04
1.031114589204161672e-06 -2.920316142972935995e+04
1.035637867937084322e-06 -2.907585891368059310e+04
1.040180989324460604e-06 -2.894911240731309954e+04
1.044744040411763482e-06 -2.882291948218724065e+04
1.049327108626315356e-06 -2.869727772046522659e+04
1.053930281778963714e-06 -2.857218471487320494e+04
1.058553648065763543e-06 -2.844763806864104845e+04
1.063197296069667166e-06 -2.832363539548838162e+04
1.067861314762220633e-06 -2.820017431953817140e+04
1.072545793505269650e-06 -2.807725247528301770e+04
1.077250822052671637e-06 -2.795486750758469134e+04
1.081976490552013943e-06 -2.783301707154886026e+04
1.086722889546342422e-06 -2.771169883254548768e+04
1.091490109975896583e-06 -2.759091046613903382e+04
1.096278243179850240e-06 -2.747064965803921950e+04
1.101087380898062970e-06 -2.735091410407638250e+04
1.105917615272837912e-06 -2.723170151013174836e+04
1.110769038850686138e-06 -2.711300959210767542e+04
1.115641744584100344e-06 -2.699483607589162420e+04
1.120535825833336580e-06 -2.687717869729387530e+04
1.125451376368201911e-06 -2.676003520202228174e+04
1.130388490369851194e-06 -2.664340334562684438e+04
1.135347262432592517e-06 -2.652728089345155968e+04
1.140327787565698379e-06 -2.641166562061694276e+04
1.145330161195226590e-06 -2.629655531195667209e+04
1.150354479165848809e-06 -2.618194776196645762e+04
1.155400837742686907e-06 -2.606784077478218751e+04
1.160469333613156752e-06 -2.595423216414914350e+04
1.165560063888821721e-06 -2.584111975332712973e+04
1.170673126107252156e-06 -2.572850137510645072e+04
1.175808618233895610e-06 -2.561637487174034322e+04
1.180966638663952387e-06 -2.550473809489975611e+04
1.186147286224261679e-06 -2.539358890564162357e+04
1.191350660175194891e-06 -2.528292517436640628e+04
1.196576860212557442e-06 -2.517274478078093671e+04
1.201825986469498829e-06 -2.506304561383536929e+04
1.207098139518431149e-06 -2.495382557171404915e+04
1.212393420372956320e-06 -2.484508256178907686e+04
1.217711930489800907e-06 -2.473681450054909146e+04
1.223053771770760705e-06 -2.462901931360207163e+04
1.228419046564652933e-06 -2.452169493560921183e+04
1.233807857669276694e-06 -2.441483931024605045e+04
1.239220308333383599e-06 -2.430845039019215255e+04
1.244656502258654950e-06 -2.420252613703279349e+04
1.250116543601689305e-06 -2.409706452129059471e+04
1.255600536975997663e-06 -2.399206352233736106e+04
1.261108587454008393e-06 -2.388752112835659864e+04
1.266640800569079994e-06 -2.378343533635075437e+04
1.272197282317523175e-06 -2.367980415204613746e+04
1.277778139160631404e-06 -2.357662558988360615e+04
1.283383478026721836e-06 -2.347389767298151855e+04
1.289013406313182379e-06 -2.337161843308400421e+04
1.294668031888530828e-06 -2.326978591054261051e+04
1.300347463094480572e-06 -2.316839815426613859e+04
1.306051808748017515e-06 -2.306745322167576160e+04
1.311781178143483777e-06 -2.296694917868591074e+04
1.317535681054672622e-06 -2.286688409964524544e+04
1.323315427736931636e-06 -2.276725606733762834e+04
1.329120528929274171e-06 -2.266806317289955769e+04
1.334951095856502856e-06 -2.256930351581201830e+04
1.340807240231339038e-06 -2.247097520385362441e+04
1.346689074256564506e-06 -2.237307635306866723e+04
1.352596710627169563e-06 -2.227560508774144182e+04
1.358530262532514447e-06 -2.217855954032175578e+04
1.364489843658495825e-06 -2.208193785144773574e+04
1.370475568189726636e-06 -2.198573816985617304e+04
1.376487550811723551e-06 -2.188995865237594262e+04
1.382525906713102908e-06 -2.179459746388739222e+04
1.388590751587790195e-06 -2.169965277728573710e+04
1.394682201637234410e-06 -2.160512277345226539e+04
1.400800373572635327e-06 -2.151100564119869523e+04
1.406945384617180518e-06 -2.141729957726016801e+04
1.413117352508289986e-06 -2.132400278624179191e+04
1.419316395499872873e-06 -2.123111348059408556e+04
1.425542632364592214e-06 -2.113862988057332768e+04
1.431796182396142397e-06 -2.104655021420529010e+04
1.438077165411532767e-06 -2.095487271726152539e+04
1.444385701753384139e-06 -2.086359563321281530e+04
1.450721912292235483e-06 -2.077271721321000223e+04
1.457085918428858018e-06 -2.068223571603193705e+04
1.463477842096582859e-06 -2.059214940807081075e+04
1.469897805763636074e-06 -2.050245656328838231e+04
1.476345932435485389e-06 -2.041315546318485576e+04
1.482822345657197692e-06 -2.032424439675514077e+04
1.489327169515805435e-06 -2.023572166048808504e+04
