# r   n   gradn   gradn2   lapl   tau_KS   tauTF   s2   q   tau_vW
# Xe Z=54  Koga1999  E=-7232.138355835 Ha  T_KS=4821.42602443 Ha
9.999999999999999547e-07 1.112119203028154006e+05 -1.201346037260857597e+07 1.443232301242365938e+14 -2.402561929261331250e+13 1.750004490314367414e+08 7.384495346171978712e+08 1.318030143663266318e-01 -2.440141624410515760e+03 1.622164576999294162e+08
1.004386785698002682e-06 1.112118676023517910e+05 -1.201345466341625154e+07 1.443230929499576875e+14 -2.392066732434509766e+13 1.750003696981785595e+08 7.384489513969433308e+08 1.318030556468764991e-01 -2.429484185646185779e+03 1.622163803889146447e+08
1.008792815284765558e-06 1.112118146707277920e+05 -1.201344892918162607e+07 1.443229551740551562e+14 -2.381617374701820312e+13 1.750002900169390440e+08 7.384483656186914444e+08 1.318030971085272507e-01 -2.418873294586858265e+03 1.622163027387891710e+08
1.013218173179104541e-06 1.112117615069294989e+05 -1.201344316979487613e+07 1.443228167938911562e+14 -2.371213655855255859e+13 1.750002099861922562e+08 7.384477772712240219e+08 1.318031387520739450e-01 -2.408308747929578658e+03 1.622162247480660379e+08
1.017662944170163050e-06 1.112117081099385832e+05 -1.201343738514567167e+07 1.443226778068156875e+14 -2.360855376561238672e+13 1.750001296044050157e+08 7.384471863432739973e+08 1.318031805783144161e-01 -2.397790343259334804e+03 1.622161464152510464e+08
1.022127213419035944e-06 1.112116544787324674e+05 -1.201343157512324303e+07 1.443225382101681250e+14 -2.350542338356814062e+13 1.750000488700380027e+08 7.384465928235274553e+08 1.318032225880503006e-01 -2.387317879045190239e+03 1.622160677388443351e+08
1.026611066460401961e-06 1.112116006122838880e+05 -1.201342573961628228e+07 1.443223980012750312e+14 -2.340274343645828516e+13 1.749999677815445662e+08 7.384459967006182671e+08 1.318032647820861769e-01 -2.376891154636415195e+03 1.622159887173383236e+08
1.031114589204161672e-06 1.112115465095610853e+05 -1.201341987851303443e+07 1.443222571774521250e+14 -2.330051195695164062e+13 1.749998863373717666e+08 7.384453979631310701e+08 1.318033071612310370e-01 -2.366509970258659450e+03 1.622159093492199183e+08
1.035637867937084322e-06 1.112114921695276716e+05 -1.201341399170122668e+07 1.443221157360028125e+14 -2.319872698630952734e+13 1.749998045359596312e+08 7.384447965995986462e+08 1.318033497262973419e-01 -2.356174127010106076e+03 1.622158296329688728e+08
1.040180989324460604e-06 1.112114375911430543e+05 -1.201340807906811498e+07 1.443219736742190625e+14 -2.309738657434834766e+13 1.749997223757413328e+08 7.384441925985081196e+08 1.318033924781002730e-01 -2.345883426857659742e+03 1.622157495670581758e+08
